ID_PENDAFTARAN,EMAIL,NO_TES,VACANCY_ID_PLAN,MATCH_SCORE_PLAN,MATCH_CATEGORY_PLAN,CONTRACT_STATUS,CONTRACT_DATE,CONTRACT_REJECTION_REASON,ACTUAL_VACANCY_ID,ACTUAL_POSITION_NAME,ACTUAL_UNIT_NAME,ACTUAL_LOCATION,IS_SYNTHETIC
REG-2026-00095,digdayanar807@outlook.com,TES-AKD-2026-00084,VAC-002,94.1,STRONG_MATCH,SIGNED,2026-05-06,,VAC-002,Engineer Energi Terbarukan,PLN UID Jawa Barat,Bandung,1
REG-2026-00096,amalialaks752@outlook.com,TES-AKD-2026-00085,VAC-034,96.6,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00097,jayadipras367@pln.co.id,TES-AKD-2026-00086,VAC-029,96.9,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00098,jamalsarag384@gmail.com,TES-AKD-2026-00087,VAC-001,68.2,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00099,cawisonoha194@outlook.com,,VAC-003,45.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00100,putrinurai954@yahoo.com,TES-AKD-2026-00088,VAC-006,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00101,garangtamb954@pln.co.id,TES-AKD-2026-00089,VAC-003,68.4,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00102,devinurain471@outlook.com,TES-AKD-2026-00090,VAC-006,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00103,nurulyunia353@pln.co.id,TES-AKD-2026-00091,VAC-018,98.6,STRONG_MATCH,SIGNED,2026-06-19,,VAC-018,Engineer Pemeliharaan,PLN UID Jawa Barat,Bandung,1
REG-2026-00104,dianamardh871@pln.co.id,TES-AKD-2026-00092,VAC-010,97.6,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00105,dalionoraj145@outlook.com,TES-AKD-2026-00093,VAC-003,67.4,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00106,yuninasyid546@gmail.com,TES-AKD-2026-00094,VAC-042,66.5,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00107,kambalitam585@yahoo.com,TES-AKD-2026-00095,VAC-007,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00108,diannasyid787@gmail.com,TES-AKD-2026-00096,VAC-005,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00109,maryadimus564@yahoo.com,TES-AKD-2026-00097,VAC-018,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00110,zelayafari154@pln.co.id,TES-AKD-2026-00098,VAC-011,96.6,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00111,dononababa193@gmail.com,TES-AKD-2026-00099,VAC-012,68.5,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00112,kandadabuk838@yahoo.com,TES-AKD-2026-00100,VAC-003,99.5,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00113,damugunawa304@outlook.com,TES-AKD-2026-00101,VAC-007,67.6,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00114,kuncarawij855@outlook.com,TES-AKD-2026-00102,VAC-010,68.7,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00115,satyabudiy130@gmail.com,,VAC-001,75.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00116,iraastuti801@yahoo.com,TES-AKD-2026-00103,VAC-021,100.0,STRONG_MATCH,SIGNED,2026-05-29,,VAC-021,Spesialis K3L,PLN UIW Nusa Tenggara,Kupang,1
REG-2026-00117,karenhastu245@pln.co.id,TES-AKD-2026-00104,VAC-008,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00118,mustofamar23@pln.co.id,TES-AKD-2026-00105,VAC-004,69.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00119,tirtayasap83@gmail.com,TES-AKD-2026-00106,VAC-004,63.6,LOW_MATCH,REJECTED,,LOCATION_MISMATCH,,,,,1
REG-2026-00120,anaaryani103@gmail.com,TES-AKD-2026-00107,VAC-009,68.6,MODERATE_MATCH,SIGNED,2026-05-12,,VAC-009,Data Analyst,PLN UIP Sulawesi,Makassar,1
REG-2026-00121,parmansiho664@gmail.com,TES-AKD-2026-00108,VAC-006,67.2,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00122,heryantona240@yahoo.com,TES-AKD-2026-00109,VAC-005,66.6,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00123,evanasyiah558@yahoo.com,,VAC-001,38.3,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00124,putrirahma721@outlook.com,TES-AKD-2026-00110,VAC-006,68.4,MODERATE_MATCH,REJECTED,,LOCATION_MISMATCH,,,,,1
REG-2026-00125,fitriakusw374@gmail.com,TES-AKD-2026-00111,VAC-016,70.0,MODERATE_MATCH,SIGNED,2026-04-09,,VAC-018,Engineer Pemeliharaan,PLN UID Jawa Barat,Bandung,1
REG-2026-00126,saktimangu342@yahoo.com,TES-AKD-2026-00112,VAC-030,66.9,MODERATE_MATCH,SIGNED,2026-05-17,,VAC-030,Analis Supply Chain,PLN UIP Sulawesi,Makassar,1
REG-2026-00127,jatmikotha748@gmail.com,TES-AKD-2026-00113,VAC-004,56.1,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00128,mujurlatup238@yahoo.com,TES-AKD-2026-00114,VAC-003,97.4,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00129,maryadiadr425@outlook.com,TES-AKD-2026-00115,VAC-003,69.6,MODERATE_MATCH,SIGNED,2026-04-10,,VAC-006,Spesialis K3L,PLN UIW Papua,Jayapura,1
REG-2026-00130,balamantri381@yahoo.com,TES-AKD-2026-00116,VAC-003,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00131,ratnayulia995@yahoo.com,TES-AKD-2026-00117,VAC-005,99.7,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00132,humairaang431@outlook.com,,VAC-003,75.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00133,idaanggrai557@gmail.com,TES-AKD-2026-00118,VAC-007,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00134,olgamahesw52@yahoo.com,TES-AKD-2026-00119,VAC-005,96.3,STRONG_MATCH,SIGNED,2026-04-28,,VAC-005,Analis Supply Chain,PLN UIW Maluku,Ambon,1
REG-2026-00135,cawisadima653@gmail.com,TES-AKD-2026-00120,VAC-017,66.7,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00136,umimulyani516@outlook.com,TES-AKD-2026-00121,VAC-006,99.4,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00137,vanesarahi324@pln.co.id,TES-AKD-2026-00122,VAC-002,95.9,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00138,zahralaksm540@gmail.com,TES-AKD-2026-00123,VAC-007,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00139,dalimintam438@outlook.com,TES-AKD-2026-00124,VAC-003,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00140,ratihusada672@outlook.com,TES-AKD-2026-00125,VAC-003,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00141,kenziemarp365@pln.co.id,TES-AKD-2026-00126,VAC-003,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00142,hanasuryat938@pln.co.id,,VAC-003,45.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00143,zalindrana674@pln.co.id,TES-AKD-2026-00127,VAC-002,99.5,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00144,balidinsih353@gmail.com,TES-AKD-2026-00128,VAC-001,58.4,LOW_MATCH,SIGNED,2026-04-18,,VAC-006,Spesialis K3L,PLN UIW Papua,Jayapura,1
REG-2026-00145,putriyunia402@pln.co.id,TES-AKD-2026-00129,VAC-018,69.5,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00146,dasanaingg596@outlook.com,TES-AKD-2026-00130,VAC-018,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00147,balamantri811@pln.co.id,TES-AKD-2026-00131,VAC-003,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00148,bellanurai557@outlook.com,TES-AKD-2026-00132,VAC-001,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00149,oskarprasa593@outlook.com,TES-AKD-2026-00133,VAC-006,96.8,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00150,rahmiyulia988@gmail.com,TES-AKD-2026-00134,VAC-002,65.4,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00151,rachelmary379@pln.co.id,TES-AKD-2026-00135,VAC-012,67.5,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00152,zulfasuart148@pln.co.id,TES-AKD-2026-00136,VAC-001,66.7,MODERATE_MATCH,PENDING,,,,,,,1
REG-2026-00153,hamimaprat530@outlook.com,TES-AKD-2026-00137,VAC-003,99.1,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00154,tirtayasas218@gmail.com,,VAC-006,37.6,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00155,jumadilazu450@outlook.com,TES-AKD-2026-00138,VAC-003,68.0,MODERATE_MATCH,REJECTED,,OTHER_OFFER,,,,,1
REG-2026-00156,darunawahy201@gmail.com,TES-AKD-2026-00139,VAC-022,97.5,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00157,martanamus433@outlook.com,TES-AKD-2026-00140,VAC-051,69.7,MODERATE_MATCH,SIGNED,2026-05-18,,VAC-049,Analis Supply Chain,PLN Kantor Pusat,Jakarta,1
REG-2026-00158,kaniapuspi254@outlook.com,TES-AKD-2026-00141,VAC-007,68.7,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00159,vimannarpa856@outlook.com,TES-AKD-2026-00142,VAC-005,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00160,vanyaaryan91@gmail.com,TES-AKD-2026-00143,VAC-003,98.4,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00161,zaenabsuar593@pln.co.id,TES-AKD-2026-00144,VAC-023,45.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00162,dodowasita940@yahoo.com,TES-AKD-2026-00145,VAC-013,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00163,cakrabuana520@outlook.com,TES-AKD-2026-00146,VAC-001,69.0,MODERATE_MATCH,SIGNED,2026-06-17,,VAC-001,Engineer Sistem Tenaga,PLN Kantor Pusat,Jakarta,1
REG-2026-00164,vanesahasa115@yahoo.com,TES-AKD-2026-00147,VAC-003,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00165,ismailwija742@yahoo.com,TES-AKD-2026-00148,VAC-005,70.0,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00166,hanamandas98@outlook.com,,VAC-001,45.0,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00167,mujurtarih64@outlook.com,TES-AKD-2026-00149,VAC-003,68.7,MODERATE_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00168,garandabuk412@gmail.com,TES-AKD-2026-00150,VAC-027,65.4,MODERATE_MATCH,SIGNED,2026-04-10,,VAC-027,Engineer Sistem Tenaga,PLN UIW Maluku,Ambon,1
REG-2026-00169,betaniazul251@yahoo.com,,VAC-030,38.8,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00170,zamiralaks98@gmail.com,TES-AKD-2026-00151,VAC-012,68.2,MODERATE_MATCH,PENDING,,,,,,,1
REG-2026-00171,faizahyola389@gmail.com,TES-AKD-2026-00152,VAC-005,98.7,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00172,perkasakur78@gmail.com,TES-AKD-2026-00153,VAC-005,96.7,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00173,lutfannarp70@gmail.com,TES-AKD-2026-00154,VAC-021,100.0,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00174,ganjaranta260@pln.co.id,TES-AKD-2026-00155,VAC-016,98.4,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00175,cahyokuswo541@yahoo.com,TES-AKD-2026-00156,VAC-005,99.5,STRONG_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00176,marwatahut683@outlook.com,TES-AKD-2026-00157,VAC-013,59.7,LOW_MATCH,NOT_OFFERED,,,,,,,1
REG-2026-00177,ifakuswand996@pln.co.id,TES-AKD-2026-00158,VAC-031,64.4,LOW_MATCH,NOT_OFFERED,,,,,,,1
