NO TES,EMAIL,NAMA,PRODI,Kesimpulan,Hasil
TES-AKD-2026-00042,halimawina82@outlook.com,Halima Winarsih,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00043,karsanajai220@yahoo.com,Karsana Jailani,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00044,melindarah851@pln.co.id,Melinda Rahayu,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00045,chelseawul339@outlook.com,Chelsea Wulandari,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00046,rikawahyun444@gmail.com,Rika Wahyuni,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00047,ichapuspit109@yahoo.com,Icha Puspita,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00049,onisuryatm80@pln.co.id,Oni Suryatmi,DIGITAL MARKETING DAN ANALYTICS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00050,dalimasudi565@gmail.com,Dalima Sudiati,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00051,auroraandr625@outlook.com,Aurora Andriani,DIGITAL MARKETING DAN ANALYTICS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00052,pariswinar290@gmail.com,Paris Winarsih,TEKNIK LISTRIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00053,najammanul409@pln.co.id,Najam Manullang,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00054,danujapray755@gmail.com,Danuja Prayoga,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00055,sabrisalah23@gmail.com,Sabri Salahudin,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00056,lidyakusma310@pln.co.id,Lidya Kusmawati,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00057,fitrianimu891@pln.co.id,Fitriani Mulyani,ELEKTRONIKA DAN INSTRUMENTASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00058,rinipratiw912@outlook.com,Rini Pratiwi,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00059,balamantri984@outlook.com,Balamantri Prasetyo,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00060,lintanghas841@pln.co.id,Lintang Hassanah,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00061,julisafitr107@outlook.com,Juli Safitri,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00062,wanisafitr579@yahoo.com,Wani Safitri,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00064,harsayapra702@outlook.com,Harsaya Prabowo,PROGRAM STUDI LAINNYA NON TEKNIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00065,pranatamar157@gmail.com,Pranata Marpaung,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00068,marwataman458@yahoo.com,Marwata Mandala,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00069,akarsanada195@gmail.com,Akarsana Damanik,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00071,omansaragi891@outlook.com,Oman Saragih,KOMUNIKASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00072,unggultari466@yahoo.com,Unggul Tarihoran,TEKNIK GEODESI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00073,wasisputra673@outlook.com,Wasis Putra,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00074,yunimaryat11@gmail.com,Yuni Maryati,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00076,darmanmaul672@gmail.com,Darman Maulana,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00078,jasminmaya472@outlook.com,Jasmin Mayasari,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00079,kuntharanu871@pln.co.id,Kunthara Nugroho,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00081,adesantoso638@pln.co.id,Ade Santoso,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00082,aswanirama664@yahoo.com,Aswani Ramadan,KEUANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00084,digdayanar807@outlook.com,Digdaya Narpati,KONVERSI ENERGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00085,amalialaks752@outlook.com,Amalia Laksita,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00086,jayadipras367@pln.co.id,Jayadi Prasasta,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00087,jamalsarag384@gmail.com,Jamal Saragih,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00090,devinurain471@outlook.com,Devi Nuraini,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00091,nurulyunia353@pln.co.id,Nurul Yuniar,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00092,dianamardh871@pln.co.id,Diana Mardhiyah,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00095,kambalitam585@yahoo.com,Kambali Tamba,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00096,diannasyid787@gmail.com,Dian Nasyidah,ADMINISTRASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00097,maryadimus564@yahoo.com,Maryadi Mustofa,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00099,dononababa193@gmail.com,Dono Nababan,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00100,kandadabuk838@yahoo.com,Kanda Dabukke,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00101,damugunawa304@outlook.com,Damu Gunawan,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00102,kuncarawij855@outlook.com,Kuncara Wijaya,MANAJEMEN ASET,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00103,iraastuti801@yahoo.com,Ira Astuti,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00104,karenhastu245@pln.co.id,Karen Hastuti,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00105,mustofamar23@pln.co.id,Mustofa Marpaung,PSIKOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00106,tirtayasap83@gmail.com,Tirtayasa Prasetyo,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00107,anaaryani103@gmail.com,Ana Aryani,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00109,heryantona240@yahoo.com,Heryanto Napitupulu,ADMINISTRASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00110,putrirahma721@outlook.com,Putri Rahmawati,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00111,fitriakusw374@gmail.com,Fitria Kuswandari,TEKNIK GEODESI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00112,saktimangu342@yahoo.com,Sakti Mangunsong,MANAJEMEN ASET,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00114,mujurlatup238@yahoo.com,Mujur Latupono,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00115,maryadiadr425@outlook.com,Maryadi Adriansyah,ADMINISTRASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00117,ratnayulia995@yahoo.com,Ratna Yulianti,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00118,idaanggrai557@gmail.com,Ida Anggraini,MANAJEMEN ASET,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00119,olgamahesw52@yahoo.com,Olga Maheswara,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00120,cawisadima653@gmail.com,Cawisadi Mandala,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00121,umimulyani516@outlook.com,Umi Mulyani,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00123,zahralaksm540@gmail.com,Zahra Laksmiwati,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00124,dalimintam438@outlook.com,Dalimin Tampubolon,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00125,ratihusada672@outlook.com,Ratih Usada,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00126,kenziemarp365@pln.co.id,Kenzie Marpaung,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00127,zalindrana674@pln.co.id,Zalindra Nasyidah,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00128,balidinsih353@gmail.com,Balidin Sihombing,PSIKOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00129,putriyunia402@pln.co.id,Putri Yuniar,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00131,balamantri811@pln.co.id,Balamantri Hutapea,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00133,oskarprasa593@outlook.com,Oskar Prasasta,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00134,rahmiyulia988@gmail.com,Rahmi Yuliarti,PROGRAM STUDI LAINNYA TEKNIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00135,rachelmary379@pln.co.id,Rachel Maryati,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00136,zulfasuart148@pln.co.id,Zulfa Suartini,AKUNTANSI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00137,hamimaprat530@outlook.com,Hamima Pratiwi,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00138,jumadilazu450@outlook.com,Jumadi Lazuardi,KOMUNIKASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00139,darunawahy201@gmail.com,Daruna Wahyudin,ELEKTRONIKA DAN INSTRUMENTASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00140,martanamus433@outlook.com,Martana Mustofa,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00141,kaniapuspi254@outlook.com,Kania Puspita,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00142,vimannarpa856@outlook.com,Viman Narpati,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00145,dodowasita940@yahoo.com,Dodo Wasita,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00146,cakrabuana520@outlook.com,Cakrabuana Januar,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00148,ismailwija742@yahoo.com,Ismail Wijaya,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00149,mujurtarih64@outlook.com,Mujur Tarihoran,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00150,garandabuk412@gmail.com,Garan Dabukke,AKUNTANSI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00151,zamiralaks98@gmail.com,Zamira Laksmiwati,MANAJEMEN INVESTASI BANK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00152,faizahyola389@gmail.com,Faizah Yolanda,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00153,perkasakur78@gmail.com,Perkasa Kurniawan,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00155,ganjaranta260@pln.co.id,Ganjaran Tampubolon,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00156,cahyokuswo541@yahoo.com,Cahyo Kuswoyo,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00157,marwatahut683@outlook.com,Marwata Hutapea,KOMUNIKASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00158,ifakuswand996@pln.co.id,Ifa Kuswandari,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00159,vegaadrian541@yahoo.com,Vega Adriansyah,ADMINISTRASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00161,gatotanggr857@outlook.com,Gatot Anggriawan,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00163,uchitautam709@gmail.com,Uchita Utami,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00165,samsultamp583@gmail.com,Samsul Tampubolon,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00166,prabawamar405@outlook.com,Prabawa Marpaung,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00167,rahmirahma100@yahoo.com,Rahmi Rahmawati,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00170,nadiamayas580@outlook.com,Nadia Mayasari,ADMINISTRASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00171,prayogopra878@yahoo.com,Prayogo Prayoga,MANAJEMEN ASET,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00172,sabrinapra749@gmail.com,Sabrina Prastuti,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00174,veroprabow954@yahoo.com,Vero Prabowo,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00175,ichaharyan633@gmail.com,Icha Haryanti,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00176,bellapudji504@gmail.com,Bella Pudjiastuti,KOMUNIKASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00177,daryanidon782@outlook.com,Daryani Dongoran,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00178,wasissapto815@outlook.com,Wasis Saptono,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00179,emplukiswa26@pln.co.id,Empluk Iswahyudi,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00181,faizahmand407@yahoo.com,Faizah Mandasari,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00182,teguhprata857@pln.co.id,Teguh Pratama,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00183,titiyoland191@gmail.com,Titi Yolanda,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00184,kaniyulian862@yahoo.com,Kani Yulianti,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00186,gentapuspi384@yahoo.com,Genta Puspita,MANAJEMEN RISIKO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00187,windarahma727@gmail.com,Winda Rahmawati,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00189,ginapermat429@pln.co.id,Gina Permata,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00192,lalapermat945@pln.co.id,Lala Permata,TEKNIK GEOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00193,ananovitas624@gmail.com,Ana Novitasari,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00195,olivayulia450@yahoo.com,Oliva Yulianti,DATA SCIENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00196,najamardia367@outlook.com,Najam Ardianto,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00197,kartikaary578@yahoo.com,Kartika Aryani,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00199,simonutama149@yahoo.com,Simon Utama,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00200,galionoira329@pln.co.id,Galiono Irawan,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00202,bakdanashi934@yahoo.com,Bakda Nashiruddin,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00203,gatotnugro828@pln.co.id,Gatot Nugroho,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00204,humairanov320@pln.co.id,Humaira Novitasari,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00207,sitihastut548@yahoo.com,Siti Hastuti,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00209,danudongor368@outlook.com,Danu Dongoran,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00210,salwahariy35@yahoo.com,Salwa Hariyah,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00211,elvinapurw379@outlook.com,Elvina Purwanti,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00213,anggabayah605@gmail.com,Anggabaya Hutasoit,ELEKTRONIKA DAN INSTRUMENTASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00214,septisuart903@gmail.com,Septi Suartini,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00215,rahmiyolan493@yahoo.com,Rahmi Yolanda,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00216,kaninasyid524@pln.co.id,Kani Nasyidah,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00218,najwayulia567@pln.co.id,Najwa Yuliarti,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00222,ifanasyiah239@outlook.com,Ifa Nasyiah,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00223,balanggabu947@outlook.com,Balangga Budiyanto,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00224,raisanovit634@outlook.com,Raisa Novitasari,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00225,gardaprada958@yahoo.com,Garda Pradana,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00226,ramawinarn561@gmail.com,Rama Winarno,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00227,jessicanur967@gmail.com,Jessica Nuraini,ADMINISTRASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00229,aisyahnura94@gmail.com,Aisyah Nuraini,DATA SCIENCE,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00230,damarlatup193@gmail.com,Damar Latupono,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00231,ganepdaman938@gmail.com,Ganep Damanik,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00232,herupraset298@pln.co.id,Heru Prasetyo,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00233,ulikusmawa315@gmail.com,Uli Kusmawati,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00234,titinharta438@gmail.com,Titin Hartati,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00235,cemaninapi737@gmail.com,Cemani Napitupulu,ELEKTRONIKA DAN INSTRUMENTASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00237,raditsireg761@gmail.com,Radit Siregar,TEKNIK LISTRIK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00239,jayadisapu468@outlook.com,Jayadi Saputra,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00240,rikalailas795@yahoo.com,Rika Lailasari,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00241,umayardian530@gmail.com,Umay Ardianto,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00242,titinprati256@outlook.com,Titin Pratiwi,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00243,salimahlak380@gmail.com,Salimah Laksita,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00244,julirahima31@outlook.com,Juli Rahimah,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-00245,halimakusm620@gmail.com,Halima Kusmawati,PSIKOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00247,olivianura932@gmail.com,Olivia Nuraini,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-00248,oliviapusp189@yahoo.com,Olivia Puspasari,TEKNIK LISTRIK,Berisi semua hasil pemeriksaan,Tidak Lolos
