NO TES,EMAIL,NAMA,PRODI,KATEGORI,ABSTRACT_REASONING,VERBAL_REASONING,NUMERICAL_REASONING,TOTAL
TES-AKD-2026-00070,pangestusi944@outlook.com,Pangestu Sitompul,ADMINISTRASI BISNIS,II,7,7,8,22
TES-AKD-2026-00071,omansaragi891@outlook.com,Oman Saragih,KOMUNIKASI,I,5,10,7,22
TES-AKD-2026-00072,unggultari466@yahoo.com,Unggul Tarihoran,TEKNIK GEODESI,I,8,4,8,20
TES-AKD-2026-00073,wasisputra673@outlook.com,Wasis Putra,DATA SCIENCE,I,6,4,8,18
TES-AKD-2026-00074,yunimaryat11@gmail.com,Yuni Maryati,PSIKOLOGI,I,7,6,6,19
TES-AKD-2026-00075,bellaperti119@outlook.com,Bella Pertiwi,TEKNIK ELEKTRO,III,10,5,7,22
TES-AKD-2026-00076,darmanmaul672@gmail.com,Darman Maulana,DATA SCIENCE,I,8,4,7,19
TES-AKD-2026-00077,pujisusant220@outlook.com,Puji Susanti,BIG DATA DAN BUSINESS INTELLIGENCE,II,8,6,6,20
TES-AKD-2026-00078,jasminmaya472@outlook.com,Jasmin Mayasari,ADMINISTRASI BISNIS,I,6,7,5,18
TES-AKD-2026-00079,kuntharanu871@pln.co.id,Kunthara Nugroho,TEKNIK BIOENERGI,I,6,5,7,18
TES-AKD-2026-00080,cahyosanto381@gmail.com,Cahyo Santoso,TEKNIK GEOLOGI,II,6,6,10,22
TES-AKD-2026-00081,adesantoso638@pln.co.id,Ade Santoso,MANAJEMEN PEMASARAN,I,5,8,5,18
TES-AKD-2026-00082,aswanirama664@yahoo.com,Aswani Ramadan,KEUANGAN,I,7,4,8,19
TES-AKD-2026-00083,hasimprayo813@gmail.com,Hasim Prayoga,PROGRAM STUDI LAINNYA TEKNIK,II,7,4,5,16
TES-AKD-2026-00084,digdayanar807@outlook.com,Digdaya Narpati,KONVERSI ENERGI,I,8,6,4,18
TES-AKD-2026-00085,amalialaks752@outlook.com,Amalia Laksita,BIG DATA DAN BUSINESS INTELLIGENCE,I,8,5,8,21
TES-AKD-2026-00086,jayadipras367@pln.co.id,Jayadi Prasasta,DATA SCIENCE,I,8,9,7,24
TES-AKD-2026-00087,jamalsarag384@gmail.com,Jamal Saragih,ENERGI BARU TERBARUKAN,I,8,7,4,19
TES-AKD-2026-00088,putrinurai954@yahoo.com,Putri Nuraini,PROGRAM STUDI LAINNYA NON TEKNIK,II,9,6,7,22
TES-AKD-2026-00089,garangtamb954@pln.co.id,Garang Tamba,TEKNIK INFORMATIKA,II,9,7,9,25
TES-AKD-2026-00090,devinurain471@outlook.com,Devi Nuraini,SAFETY ENGINEERING,I,9,8,7,24
TES-AKD-2026-00091,nurulyunia353@pln.co.id,Nurul Yuniar,TEKNIK MATERIAL,I,7,7,10,24
TES-AKD-2026-00092,dianamardh871@pln.co.id,Diana Mardhiyah,SUPPLY CHAIN MANAGEMENT,I,7,7,6,20
TES-AKD-2026-00093,dalionoraj145@outlook.com,Daliono Rajasa,KEUANGAN,II,4,5,5,14
TES-AKD-2026-00094,yuninasyid546@gmail.com,Yuni Nasyidah,MANAJEMEN PROYEK,III,6,8,5,19
TES-AKD-2026-00095,kambalitam585@yahoo.com,Kambali Tamba,AKUNTANSI,I,8,8,6,22
TES-AKD-2026-00096,diannasyid787@gmail.com,Dian Nasyidah,ADMINISTRASI,I,6,8,5,19
TES-AKD-2026-00097,maryadimus564@yahoo.com,Maryadi Mustofa,TEKNIK MESIN,I,10,6,8,24
TES-AKD-2026-00098,zelayafari154@pln.co.id,Zelaya Farida,TEKNIK KIMIA,III,8,8,8,24
TES-AKD-2026-00099,dononababa193@gmail.com,Dono Nababan,ENERGI BARU TERBARUKAN,I,5,4,8,17
TES-AKD-2026-00100,kandadabuk838@yahoo.com,Kanda Dabukke,TEKNIK MESIN,I,7,5,6,18
TES-AKD-2026-00101,damugunawa304@outlook.com,Damu Gunawan,MANAJEMEN PEMASARAN,I,8,10,7,25
TES-AKD-2026-00102,kuncarawij855@outlook.com,Kuncara Wijaya,MANAJEMEN ASET,I,5,9,8,22
TES-AKD-2026-00103,iraastuti801@yahoo.com,Ira Astuti,SAFETY ENGINEERING,I,7,6,9,22
TES-AKD-2026-00104,karenhastu245@pln.co.id,Karen Hastuti,MANAJEMEN BISNIS,I,10,7,5,22
TES-AKD-2026-00105,mustofamar23@pln.co.id,Mustofa Marpaung,PSIKOLOGI,I,5,7,7,19
TES-AKD-2026-00106,tirtayasap83@gmail.com,Tirtayasa Prasetyo,ADMINISTRASI BISNIS,I,6,8,5,19
TES-AKD-2026-00107,anaaryani103@gmail.com,Ana Aryani,ADMINISTRASI BISNIS,I,5,9,6,20
TES-AKD-2026-00108,parmansiho664@gmail.com,Parman Sihombing,TEKNIK SIPIL,II,8,4,8,20
TES-AKD-2026-00109,heryantona240@yahoo.com,Heryanto Napitupulu,ADMINISTRASI,I,6,8,7,21
TES-AKD-2026-00110,putrirahma721@outlook.com,Putri Rahmawati,MANAJEMEN KEUANGAN,I,7,6,7,20
TES-AKD-2026-00111,fitriakusw374@gmail.com,Fitria Kuswandari,TEKNIK GEODESI,I,9,4,6,19
TES-AKD-2026-00112,saktimangu342@yahoo.com,Sakti Mangunsong,MANAJEMEN ASET,I,7,5,4,16
TES-AKD-2026-00113,jatmikotha748@gmail.com,Jatmiko Thamrin,AKUNTANSI,II,4,6,3,13
TES-AKD-2026-00114,mujurlatup238@yahoo.com,Mujur Latupono,TEKNIK ELEKTRO,I,5,5,4,14
TES-AKD-2026-00115,maryadiadr425@outlook.com,Maryadi Adriansyah,ADMINISTRASI,I,8,8,7,23
TES-AKD-2026-00116,balamantri381@yahoo.com,Balamantri Manullang,AKUNTANSI,II,4,8,7,19
TES-AKD-2026-00117,ratnayulia995@yahoo.com,Ratna Yulianti,MANAJEMEN BISNIS,I,8,9,7,24
TES-AKD-2026-00118,idaanggrai557@gmail.com,Ida Anggraini,MANAJEMEN ASET,I,5,10,8,23
TES-AKD-2026-00119,olgamahesw52@yahoo.com,Olga Maheswara,ADMINISTRASI BISNIS,I,4,7,3,14
TES-AKD-2026-00120,cawisadima653@gmail.com,Cawisadi Mandala,MANAJEMEN PEMASARAN,I,9,9,5,23
TES-AKD-2026-00121,umimulyani516@outlook.com,Umi Mulyani,KESELAMATAN DAN KESEHATAN KERJA,I,6,5,8,19
TES-AKD-2026-00122,vanesarahi324@pln.co.id,Vanesa Rahimah,TEKNIK BIOENERGI,II,8,7,8,23
TES-AKD-2026-00123,zahralaksm540@gmail.com,Zahra Laksmiwati,BIG DATA DAN BUSINESS INTELLIGENCE,I,7,5,8,20
TES-AKD-2026-00124,dalimintam438@outlook.com,Dalimin Tampubolon,TEKNIK INDUSTRI,I,10,5,8,23
TES-AKD-2026-00125,ratihusada672@outlook.com,Ratih Usada,TEKNIK MATERIAL,I,10,7,10,27
TES-AKD-2026-00126,kenziemarp365@pln.co.id,Kenzie Marpaung,SAFETY ENGINEERING,I,9,6,9,24
TES-AKD-2026-00127,zalindrana674@pln.co.id,Zalindra Nasyidah,ENERGI BARU TERBARUKAN,I,6,7,6,19
TES-AKD-2026-00128,balidinsih353@gmail.com,Balidin Sihombing,PSIKOLOGI,I,4,7,4,15
TES-AKD-2026-00129,putriyunia402@pln.co.id,Putri Yuniar,MANAJEMEN PROYEK,I,6,6,6,18
TES-AKD-2026-00130,dasanaingg596@outlook.com,Dasa Nainggolan,TEKNIK PERTAMBANGAN,II,8,7,6,21
TES-AKD-2026-00131,balamantri811@pln.co.id,Balamantri Hutapea,TEKNIK MESIN,I,8,6,6,20
TES-AKD-2026-00132,bellanurai557@outlook.com,Bella Nuraini,ADMINISTRASI BISNIS,II,6,10,4,20
TES-AKD-2026-00133,oskarprasa593@outlook.com,Oskar Prasasta,TEKNIK LINGKUNGAN,I,7,1,5,13
TES-AKD-2026-00134,rahmiyulia988@gmail.com,Rahmi Yuliarti,PROGRAM STUDI LAINNYA TEKNIK,I,7,5,7,19
TES-AKD-2026-00135,rachelmary379@pln.co.id,Rachel Maryati,MANAJEMEN KEUANGAN,I,4,7,6,17
TES-AKD-2026-00136,zulfasuart148@pln.co.id,Zulfa Suartini,AKUNTANSI,I,6,9,7,22
TES-AKD-2026-00137,hamimaprat530@outlook.com,Hamima Pratiwi,TEKNIK INDUSTRI,I,9,6,7,22
TES-AKD-2026-00138,jumadilazu450@outlook.com,Jumadi Lazuardi,KOMUNIKASI,I,6,8,4,18
TES-AKD-2026-00139,darunawahy201@gmail.com,Daruna Wahyudin,ELEKTRONIKA DAN INSTRUMENTASI,I,7,8,7,22
TES-AKD-2026-00140,martanamus433@outlook.com,Martana Mustofa,MANAJEMEN BISNIS,I,6,9,4,19
TES-AKD-2026-00141,kaniapuspi254@outlook.com,Kania Puspita,MANAJEMEN PEMASARAN,I,4,9,6,19
TES-AKD-2026-00142,vimannarpa856@outlook.com,Viman Narpati,ADMINISTRASI BISNIS,I,7,7,6,20
TES-AKD-2026-00143,vanyaaryan91@gmail.com,Vanya Aryani,TEKNIK INDUSTRI,II,8,5,7,20
TES-AKD-2026-00144,zaenabsuar593@pln.co.id,Zaenab Suartini,PROGRAM STUDI LAINNYA TEKNIK,II,9,5,8,22
TES-AKD-2026-00145,dodowasita940@yahoo.com,Dodo Wasita,TEKNIK BIOENERGI,I,8,8,7,23
TES-AKD-2026-00146,cakrabuana520@outlook.com,Cakrabuana Januar,ADMINISTRASI BISNIS,I,5,10,3,18
TES-AKD-2026-00147,vanesahasa115@yahoo.com,Vanesa Hasanah,TEKNIK MATERIAL,II,6,5,8,19
TES-AKD-2026-00148,ismailwija742@yahoo.com,Ismail Wijaya,TEKNIK MATERIAL,I,7,7,7,21
TES-AKD-2026-00149,mujurtarih64@outlook.com,Mujur Tarihoran,MANAJEMEN KEUANGAN,I,5,9,8,22
TES-AKD-2026-00150,garandabuk412@gmail.com,Garan Dabukke,AKUNTANSI,I,7,10,7,24
TES-AKD-2026-00151,zamiralaks98@gmail.com,Zamira Laksmiwati,MANAJEMEN INVESTASI BANK,I,5,5,7,17
TES-AKD-2026-00152,faizahyola389@gmail.com,Faizah Yolanda,SUPPLY CHAIN MANAGEMENT,I,9,8,8,25
TES-AKD-2026-00153,perkasakur78@gmail.com,Perkasa Kurniawan,MANAJEMEN,I,7,9,6,22
TES-AKD-2026-00154,lutfannarp70@gmail.com,Lutfan Narpati,KESELAMATAN DAN KESEHATAN KERJA,II,3,7,9,19
TES-AKD-2026-00155,ganjaranta260@pln.co.id,Ganjaran Tampubolon,SAFETY ENGINEERING,I,5,6,5,16
TES-AKD-2026-00156,cahyokuswo541@yahoo.com,Cahyo Kuswoyo,ADMINISTRASI BISNIS,I,4,7,7,18
TES-AKD-2026-00157,marwatahut683@outlook.com,Marwata Hutapea,KOMUNIKASI,I,4,8,6,18
TES-AKD-2026-00158,ifakuswand996@pln.co.id,Ifa Kuswandari,SUPPLY CHAIN MANAGEMENT,I,7,5,6,18
TES-AKD-2026-00159,vegaadrian541@yahoo.com,Vega Adriansyah,ADMINISTRASI,I,6,8,4,18
TES-AKD-2026-00160,gadangmahe920@yahoo.com,Gadang Maheswara,MANAJEMEN KEUANGAN,II,3,7,8,18
TES-AKD-2026-00161,gatotanggr857@outlook.com,Gatot Anggriawan,TEKNIK INDUSTRI,I,9,6,9,24
TES-AKD-2026-00162,belindasud166@outlook.com,Belinda Sudiati,BIG DATA DAN BUSINESS INTELLIGENCE,II,7,5,10,22
TES-AKD-2026-00163,uchitautam709@gmail.com,Uchita Utami,MANAJEMEN KEUANGAN,I,5,9,3,17
TES-AKD-2026-00164,ridwanwahy967@yahoo.com,Ridwan Wahyudin,ENERGI BARU TERBARUKAN,II,5,6,6,17
TES-AKD-2026-00165,samsultamp583@gmail.com,Samsul Tampubolon,DATA SCIENCE,I,9,6,6,21
TES-AKD-2026-00166,prabawamar405@outlook.com,Prabawa Marpaung,BIG DATA DAN BUSINESS INTELLIGENCE,I,7,5,9,21
TES-AKD-2026-00167,rahmirahma100@yahoo.com,Rahmi Rahmawati,SUPPLY CHAIN MANAGEMENT,I,6,6,5,17
TES-AKD-2026-00168,putriyunia913@yahoo.com,Putri Yuniar,PROGRAM STUDI LAINNYA NON TEKNIK,II,9,7,9,25
TES-AKD-2026-00169,amaliaarya969@pln.co.id,Amalia Aryani,ELEKTRONIKA DAN INSTRUMENTASI,II,7,7,8,22
TES-AKD-2026-00170,nadiamayas580@outlook.com,Nadia Mayasari,ADMINISTRASI,I,3,7,8,18
TES-AKD-2026-00171,prayogopra878@yahoo.com,Prayogo Prayoga,MANAJEMEN ASET,I,6,6,6,18
TES-AKD-2026-00172,sabrinapra749@gmail.com,Sabrina Prastuti,TEKNIK INFORMATIKA,I,8,5,5,18
TES-AKD-2026-00173,aswanisapt877@gmail.com,Aswani Saptono,TEKNIK BIOENERGI,II,7,4,8,19
TES-AKD-2026-00174,veroprabow954@yahoo.com,Vero Prabowo,TEKNIK KIMIA,I,6,4,10,20
TES-AKD-2026-00175,ichaharyan633@gmail.com,Icha Haryanti,DATA SCIENCE,I,7,5,6,18
TES-AKD-2026-00176,bellapudji504@gmail.com,Bella Pudjiastuti,KOMUNIKASI,I,6,6,7,19
TES-AKD-2026-00177,daryanidon782@outlook.com,Daryani Dongoran,TEKNIK MATERIAL,I,7,5,7,19
TES-AKD-2026-00178,wasissapto815@outlook.com,Wasis Saptono,HUKUM,I,5,7,4,16
TES-AKD-2026-00179,emplukiswa26@pln.co.id,Empluk Iswahyudi,DATA SCIENCE,I,9,5,7,21
TES-AKD-2026-00180,hestiusama629@pln.co.id,Hesti Usamah,ADMINISTRASI BISNIS,II,6,6,8,20
TES-AKD-2026-00181,faizahmand407@yahoo.com,Faizah Mandasari,TEKNIK INDUSTRI,I,8,8,6,22
TES-AKD-2026-00182,teguhprata857@pln.co.id,Teguh Pratama,DATA SCIENCE,I,7,6,7,20
TES-AKD-2026-00183,titiyoland191@gmail.com,Titi Yolanda,MANAJEMEN PROYEK,I,6,8,4,18
TES-AKD-2026-00184,kaniyulian862@yahoo.com,Kani Yulianti,ENERGI BARU TERBARUKAN,I,7,4,7,18
TES-AKD-2026-00185,unjaninasy32@pln.co.id,Unjani Nasyidah,MANAJEMEN PROYEK,II,3,5,7,15
TES-AKD-2026-00186,gentapuspi384@yahoo.com,Genta Puspita,MANAJEMEN RISIKO,I,6,7,5,18
TES-AKD-2026-00187,windarahma727@gmail.com,Winda Rahmawati,KESELAMATAN DAN KESEHATAN KERJA,I,6,5,7,18
TES-AKD-2026-00188,dindafarid284@outlook.com,Dinda Farida,MANAJEMEN INVESTASI BANK,II,5,9,5,19
TES-AKD-2026-00189,ginapermat429@pln.co.id,Gina Permata,TEKNIK ELEKTRO,I,8,6,5,19
TES-AKD-2026-00190,dadimaulan388@gmail.com,Dadi Maulana,AKUNTANSI,III,6,6,6,18
TES-AKD-2026-00191,harjaardia939@outlook.com,Harja Ardianto,TEKNIK GEOLOGI,II,7,5,7,19
TES-AKD-2026-00192,lalapermat945@pln.co.id,Lala Permata,TEKNIK GEOLOGI,I,6,6,9,21
TES-AKD-2026-00193,ananovitas624@gmail.com,Ana Novitasari,TEKNIK INDUSTRI,I,6,6,10,22
TES-AKD-2026-00194,opheliahar305@pln.co.id,Ophelia Hartati,SAFETY ENGINEERING,II,9,10,6,25
TES-AKD-2026-00195,olivayulia450@yahoo.com,Oliva Yulianti,DATA SCIENCE,I,10,6,7,23
TES-AKD-2026-00196,najamardia367@outlook.com,Najam Ardianto,TEKNIK INDUSTRI,I,7,4,10,21
TES-AKD-2026-00197,kartikaary578@yahoo.com,Kartika Aryani,MANAJEMEN KEUANGAN,I,8,9,6,23
TES-AKD-2026-00198,limanuwais126@pln.co.id,Liman Uwais,MANAJEMEN PROYEK,II,4,9,5,18
TES-AKD-2026-00199,simonutama149@yahoo.com,Simon Utama,TEKNIK KIMIA,I,8,6,6,20
TES-AKD-2026-00200,galionoira329@pln.co.id,Galiono Irawan,TEKNIK ELEKTRO,I,10,7,7,24
TES-AKD-2026-00201,mustikalat736@yahoo.com,Mustika Latupono,MANAJEMEN BISNIS,III,7,10,4,21
TES-AKD-2026-00202,bakdanashi934@yahoo.com,Bakda Nashiruddin,TEKNIK INFORMATIKA,I,6,6,7,19
TES-AKD-2026-00203,gatotnugro828@pln.co.id,Gatot Nugroho,PSIKOLOGI,I,4,4,5,13
TES-AKD-2026-00204,humairanov320@pln.co.id,Humaira Novitasari,SAFETY ENGINEERING,I,9,5,7,21
TES-AKD-2026-00205,galangguna334@pln.co.id,Galang Gunawan,PSIKOLOGI,II,5,6,4,15
TES-AKD-2026-00206,ajengwastu290@gmail.com,Ajeng Wastuti,AKUNTANSI,II,4,8,3,15
TES-AKD-2026-00207,sitihastut548@yahoo.com,Siti Hastuti,KESELAMATAN DAN KESEHATAN KERJA,I,8,5,6,19
TES-AKD-2026-00208,ikhsanraja407@yahoo.com,Ikhsan Rajata,MANAJEMEN PEMASARAN,II,7,8,6,21
TES-AKD-2026-00209,danudongor368@outlook.com,Danu Dongoran,TEKNIK KIMIA,I,9,7,7,23
TES-AKD-2026-00210,salwahariy35@yahoo.com,Salwa Hariyah,MANAJEMEN PROYEK,I,5,9,6,20
TES-AKD-2026-00211,elvinapurw379@outlook.com,Elvina Purwanti,SAFETY ENGINEERING,I,10,7,4,21
TES-AKD-2026-00212,betaniaast392@gmail.com,Betania Astuti,ADMINISTRASI BISNIS,II,3,9,5,17
TES-AKD-2026-00213,anggabayah605@gmail.com,Anggabaya Hutasoit,ELEKTRONIKA DAN INSTRUMENTASI,I,3,7,7,17
TES-AKD-2026-00214,septisuart903@gmail.com,Septi Suartini,TEKNIK SIPIL,I,7,7,6,20
TES-AKD-2026-00215,rahmiyolan493@yahoo.com,Rahmi Yolanda,SUPPLY CHAIN MANAGEMENT,I,8,6,6,20
TES-AKD-2026-00216,kaninasyid524@pln.co.id,Kani Nasyidah,SAFETY ENGINEERING,I,6,6,6,18
TES-AKD-2026-00217,jasmanihab83@gmail.com,Jasmani Habibi,ADMINISTRASI BISNIS,II,8,6,5,19
TES-AKD-2026-00218,najwayulia567@pln.co.id,Najwa Yuliarti,TEKNIK MESIN,I,6,7,10,23
TES-AKD-2026-00219,rinihastut225@gmail.com,Rini Hastuti,TEKNIK SIPIL,II,9,3,8,20
TES-AKD-2026-00220,caturlazua971@yahoo.com,Catur Lazuardi,SUPPLY CHAIN MANAGEMENT,III,7,5,4,16
TES-AKD-2026-00221,febimaryat418@gmail.com,Febi Maryati,PUBLIC POLICY,III,5,5,5,15
TES-AKD-2026-00222,ifanasyiah239@outlook.com,Ifa Nasyiah,HUKUM,I,3,9,7,19
TES-AKD-2026-00223,balanggabu947@outlook.com,Balangga Budiyanto,TEKNIK INFORMATIKA,I,8,8,5,21
TES-AKD-2026-00224,raisanovit634@outlook.com,Raisa Novitasari,HUKUM,I,3,7,6,16
TES-AKD-2026-00225,gardaprada958@yahoo.com,Garda Pradana,MANAJEMEN PROYEK,I,5,6,6,17
TES-AKD-2026-00226,ramawinarn561@gmail.com,Rama Winarno,MANAJEMEN KEUANGAN,I,6,8,7,21
TES-AKD-2026-00227,jessicanur967@gmail.com,Jessica Nuraini,ADMINISTRASI,I,7,7,9,23
