candidate_id,batch_id,candidate_name,gender,dob,age,domisili,pendidikan,universitas,jurusan,ipk,pengalaman_kerja_tahun,sertifikasi,source_recruitment
C00038,B092,Restu Wacana,Female,2002-10-20,24,Yogyakarta,S1,Universitas Airlangga,Sistem Informasi,3.83,0,None,Job Fair Kampus
C00039,B091,Gawati Mandala,Female,2004-09-25,22,Pontianak,S1,Universitas Padjadjaran,Teknik Elektro,3.59,1,TOEFL,Job Fair Kampus
C00040,B092,drg. Bakijan Hardiansyah,Female,1996-05-14,30,Pontianak,S1,Institut Teknologi Sepuluh Nopember,Sistem Informasi,3.21,0,TOEFL,Campus Hiring
C00041,B090,"Puti Eva Utami, S.E.",Female,1999-11-12,27,Surabaya,S1,Universitas Diponegoro,Teknik Mesin,2.92,1,None,Reguler
C00042,B090,"Ir. Indra Riyanti, S.Pt",Male,1998-06-21,28,Palembang,S1,Universitas Airlangga,Teknik Sipil,3.25,0,TOEFL,Campus Hiring
C00043,B092,Kezia Riyanti,Male,2003-11-19,23,Balikpapan,S1,Universitas Indonesia,Teknik Informatika,3.84,0,None,Reguler
C00044,B090,Paris Ramadan,Male,2000-03-05,26,Makassar,S1,Universitas Gadjah Mada,Hukum,3.18,0,TOEFL,Job Fair Kampus
C00045,B090,Dt. Maman Latupono,Female,2003-03-11,23,Surabaya,S1,Telkom University,Teknik Elektro,3.72,0,None,Job Fair Kampus
C00046,B092,"Timbul Nasyiah, S.T.",Male,2004-07-21,22,Balikpapan,S1,Institut Teknologi Sepuluh Nopember,Teknik Industri,3.68,4,AWS CCP,Career Expo
C00047,B092,"Ir. Ganep Kusumo, S.Pd",Male,2005-01-21,21,Surabaya,S1,Universitas Indonesia,Manajemen,3.26,1,TOEFL,Reguler
C00048,B092,Endah Hasanah,Male,2004-05-15,22,Surabaya,S1,Universitas Airlangga,Ilmu Komunikasi,4.0,0,None,Job Fair Kampus
C00049,B090,Xanana Saptono,Male,1998-07-01,28,Pontianak,S1,Universitas Sebelas Maret,Sistem Informasi,3.0,3,None,Campus Hiring
C00050,B092,KH. Cemani Mayasari,Male,2003-11-09,23,Bandung,S2,Institut Teknologi Bandung,Ilmu Komunikasi,2.86,0,None,Reguler
C00051,B092,Tedi Utami,Male,2002-08-23,24,Palembang,S1,Universitas Indonesia,Sistem Informasi,3.59,1,None,Campus Hiring
C00052,B091,Zaenab Uyainah,Male,2003-02-17,23,Makassar,S1,Institut Teknologi Sepuluh Nopember,Akuntansi,3.53,0,AK3,Career Expo
C00053,B091,Drs. Dalimin Mangunsong,Male,2003-07-10,23,Makassar,S1,Universitas Airlangga,Teknik Informatika,3.08,0,None,Reguler
C00054,B092,Vanesa Marpaung,Male,2000-11-16,26,Bandung,S1,Universitas Diponegoro,Teknik Elektro,3.57,1,None,BUMN Bersama
C00055,B090,KH. Virman Nuraini,Female,2003-02-27,23,Medan,S1,Universitas Padjadjaran,Teknik Elektro,3.69,1,None,Job Fair Kampus
C00056,B092,Liman Sinaga,Male,2005-03-22,21,Pontianak,S1,Universitas Diponegoro,Teknik Sipil,3.85,0,None,Job Fair Kampus
C00057,B091,Anita Kusumo,Male,2005-07-15,21,Palembang,S1,Universitas Gadjah Mada,Teknik Industri,2.94,1,TOEFL,Reguler
C00058,B090,Yance Samosir,Male,2005-10-16,21,Medan,S1,Telkom University,Administrasi Bisnis,2.83,0,TOEFL,Career Expo
C00059,B090,Asmianto Permadi,Male,2003-08-04,23,Medan,S1,Institut Teknologi Bandung,Psikologi,3.65,0,TOEFL,Job Fair Kampus
C00060,B091,Puti Chelsea Laksita,Male,1997-11-28,29,Palembang,S1,Institut Teknologi Sepuluh Nopember,Teknik Informatika,3.38,1,TOEFL,Campus Hiring
C00061,B092,"Puti Vanya Nasyidah, S.E.I",Male,2000-09-20,26,Makassar,S1,Universitas Brawijaya,Sistem Informasi,3.84,2,None,Campus Hiring
C00062,B090,Maryanto Kusmawati,Male,2003-05-02,23,Semarang,S1,Universitas Indonesia,Teknik Informatika,3.35,1,AK3,Reguler
C00063,B090,R.M. Eman Nuraini,Female,2003-02-16,23,Balikpapan,S1,Universitas Sebelas Maret,Akuntansi,2.8,0,None,Campus Hiring
C00064,B092,"Ir. Lintang Prabowo, M.Pd",Female,1999-09-07,27,Jakarta,S1,Institut Teknologi Sepuluh Nopember,Teknik Industri,3.81,2,None,Job Fair Kampus
C00065,B092,"H. Muhammad Pangestu, S.Pd",Female,2001-06-23,25,Medan,S1,Universitas Airlangga,Teknik Elektro,3.8,1,AWS CCP,Reguler
C00066,B092,Salsabila Yulianti,Female,2001-01-06,25,Yogyakarta,S1,Telkom University,Sistem Informasi,3.04,1,None,Career Expo
C00067,B090,Maida Maryati,Male,2003-04-23,23,Pontianak,S1,Universitas Indonesia,Teknik Industri,3.73,0,None,Campus Hiring
C00068,B091,Devi Prayoga,Male,1998-01-17,28,Makassar,S1,Universitas Sebelas Maret,Ilmu Komunikasi,3.74,2,CCNA,Campus Hiring
C00069,B091,Atma Sirait,Male,2001-03-04,25,Palembang,S1,Universitas Padjadjaran,Teknik Informatika,3.98,1,CCNA,Job Fair Kampus
C00070,B092,Lanjar Puspasari,Female,2003-06-10,23,Balikpapan,S1,Universitas Diponegoro,Teknik Mesin,3.81,0,None,Reguler
C00071,B091,Lanjar Prasetya,Male,2004-10-23,22,Surabaya,S1,Universitas Sebelas Maret,Teknik Sipil,3.45,2,TOEFL,Job Fair Kampus
C00072,B091,Bagus Usamah,Female,2002-10-19,24,Balikpapan,S1,Universitas Diponegoro,Administrasi Bisnis,3.85,0,None,Reguler
C00073,B092,Dartono Hidayat,Male,2005-03-02,21,Yogyakarta,S1,Universitas Diponegoro,Teknik Mesin,2.98,0,None,Job Fair Kampus
C00074,B091,Satya Sitompul,Male,2001-01-12,25,Balikpapan,S1,Institut Teknologi Sepuluh Nopember,Akuntansi,3.69,1,TOEFL,Reguler
C00075,B090,Kamidin Prakasa,Female,2002-01-13,24,Jakarta,S1,Universitas Diponegoro,Sistem Informasi,3.04,0,Google Data Analytics,Career Expo
C00076,B091,Salsabila Laksita,Female,2000-11-23,26,Pontianak,S1,Institut Teknologi Sepuluh Nopember,Hukum,3.73,1,AWS CCP,Reguler
C00077,B092,Kayun Mustofa,Male,1997-02-06,29,Palembang,S1,Universitas Diponegoro,Administrasi Bisnis,3.47,0,None,Campus Hiring
C00078,B090,"Queen Permata, M.Kom.",Female,2005-08-23,21,Jakarta,S1,Telkom University,Akuntansi,3.81,0,None,Job Fair Kampus
C00079,B091,Purwanto Kusmawati,Female,2005-12-11,21,Surabaya,S1,Universitas Padjadjaran,Teknik Mesin,3.45,0,None,Reguler
C00080,B092,"dr. Dadap Kuswoyo, S.IP",Male,2002-06-12,24,Jakarta,S2,Universitas Indonesia,Teknik Informatika,3.6,0,None,BUMN Bersama
C00081,B092,"Irfan Thamrin, S.Farm",Male,1998-11-11,28,Yogyakarta,S1,Institut Teknologi Bandung,Teknik Elektro,3.89,0,Google Data Analytics,Reguler
C00082,B092,Nadia Habibi,Female,2003-05-21,23,Balikpapan,S1,Universitas Sebelas Maret,Teknik Informatika,2.81,0,None,Campus Hiring
C00083,B091,"Martani Yuliarti, S.IP",Male,2000-07-27,26,Palembang,S1,Universitas Indonesia,Teknik Informatika,3.7,1,None,Campus Hiring
C00084,B090,Hadi Sirait,Female,2005-02-02,21,Semarang,S1,Universitas Diponegoro,Teknik Sipil,3.29,0,None,Reguler
C00085,B091,"R. Drajat Nababan, S.Kom",Female,2005-11-04,21,Pontianak,S1,Institut Teknologi Bandung,Sistem Informasi,3.64,1,None,BUMN Bersama
C00086,B092,drg. Cahyono Anggraini,Male,2004-11-10,22,Palembang,S1,Institut Teknologi Bandung,Teknik Sipil,3.37,1,None,Reguler
C00087,B090,Estiawan Hariyah,Female,2001-09-10,25,Medan,S1,Institut Teknologi Bandung,Manajemen,3.46,0,TOEFL,Reguler
C00088,B092,Taufan Hutagalung,Male,2002-07-18,24,Medan,S1,Institut Teknologi Sepuluh Nopember,Teknik Elektro,3.3,0,TOEFL,Campus Hiring
C00089,B092,Yani Pudjiastuti,Male,2004-10-27,22,Jakarta,S1,Universitas Sebelas Maret,Teknik Elektro,3.35,0,None,Reguler
C00090,B090,Asirwanda Yulianti,Male,2004-04-24,22,Semarang,S1,Universitas Indonesia,Teknik Sipil,3.14,0,None,Reguler
C00091,B092,Dt. Bakiman Prakasa,Female,2003-10-22,23,Medan,S1,Universitas Padjadjaran,Teknik Informatika,3.0,0,None,Job Fair Kampus
C00092,B090,Hasim Laksita,Female,2004-06-05,22,Medan,S1,Universitas Diponegoro,Teknik Sipil,3.38,2,None,Campus Hiring
C00093,B091,Gabriella Wacana,Male,2000-03-18,26,Bandung,S1,Institut Teknologi Bandung,Sistem Informasi,3.82,2,TOEFL,Job Fair Kampus
C00094,B091,Catur Wibowo,Female,2001-04-02,25,Surabaya,S1,Universitas Airlangga,Teknik Informatika,3.27,2,CCNA,Campus Hiring
C00095,B092,Harsaya Saptono,Female,2004-09-17,22,Pontianak,S1,Universitas Gadjah Mada,Teknik Sipil,3.71,0,None,Reguler
C00096,B092,"KH. Jaeman Suwarno, S.Farm",Male,2001-08-12,25,Semarang,S1,Institut Teknologi Bandung,Teknik Industri,3.6,0,None,Job Fair Kampus
C00097,B091,"Uchita Puspita, M.Kom.",Female,2003-08-02,23,Balikpapan,S1,Universitas Diponegoro,Sistem Informasi,3.8,0,None,Campus Hiring
C00098,B090,Dadap Sihombing,Male,2003-07-12,23,Semarang,S1,Universitas Sebelas Maret,Teknik Elektro,3.29,0,Google Data Analytics,Reguler
C00099,B091,Asmianto Prastuti,Female,2000-01-17,26,Yogyakarta,S1,Institut Teknologi Sepuluh Nopember,Psikologi,2.98,0,None,Campus Hiring
C00100,B090,"Puput Halim, S.Psi",Male,2002-07-26,24,Semarang,S1,Telkom University,Teknik Elektro,2.99,0,Google Data Analytics,Reguler
C00101,B092,Asirwanda Padmasari,Male,2004-10-06,22,Jakarta,S1,Universitas Gadjah Mada,Teknik Informatika,3.11,0,None,BUMN Bersama
C00102,B091,Olivia Nuraini,Male,2000-12-22,26,Makassar,S1,Universitas Brawijaya,Akuntansi,3.0,0,Google Data Analytics,Campus Hiring
C00103,B091,Asmianto Melani,Male,2002-09-09,24,Pontianak,S1,Universitas Indonesia,Sistem Informasi,3.08,0,None,Reguler
C00104,B090,Soleh Nashiruddin,Male,2002-09-22,24,Pontianak,S1,Telkom University,Teknik Mesin,2.85,1,AK3,Campus Hiring
C00105,B090,Legawa Hidayat,Male,2005-11-05,21,Palembang,S1,Universitas Sebelas Maret,Ilmu Komunikasi,3.3,1,Google Data Analytics,Campus Hiring
C00106,B091,"Setya Prakasa, S.Sos",Female,2004-08-26,22,Pontianak,S1,Universitas Indonesia,Hukum,3.31,1,None,Job Fair Kampus
C00107,B090,Wardaya Purnawati,Male,2004-09-14,22,Pontianak,S1,Universitas Sebelas Maret,Teknik Elektro,2.94,1,None,Campus Hiring
C00108,B092,Labuh Riyanti,Female,2003-02-05,23,Palembang,S1,Telkom University,Teknik Informatika,3.24,0,None,Campus Hiring
C00109,B090,Lukman Hutapea,Male,2003-09-16,23,Yogyakarta,S1,Telkom University,Teknik Informatika,3.21,0,TOEFL,Job Fair Kampus
C00110,B090,Sakura Padmasari,Male,2001-08-26,25,Medan,S1,Universitas Sebelas Maret,Manajemen,3.54,0,TOEFL,Reguler
C00111,B090,Drs. Iriana Rajata,Female,1998-01-26,28,Bandung,S1,Universitas Indonesia,Teknik Mesin,3.12,0,None,Campus Hiring
C00112,B092,Mulyono Sihotang,Female,1999-07-20,27,Surabaya,S1,Universitas Brawijaya,Teknik Sipil,3.33,1,None,Campus Hiring
C00113,B091,Eman Widodo,Female,2004-10-17,22,Medan,S1,Institut Teknologi Sepuluh Nopember,Teknik Mesin,3.59,1,AWS CCP,Reguler
C00114,B090,Mumpuni Yuliarti,Female,2001-06-22,25,Bandung,S1,Universitas Indonesia,Teknik Informatika,3.46,0,TOEFL,Campus Hiring
C00115,B092,Michelle Sihotang,Female,2003-05-08,23,Jakarta,S1,Universitas Diponegoro,Teknik Mesin,3.01,0,None,Campus Hiring
C00116,B091,"R. Adika Haryanti, M.Ak",Female,2003-02-26,23,Pontianak,S1,Universitas Diponegoro,Teknik Sipil,3.63,2,AWS CCP,Campus Hiring
C00117,B092,Puti Belinda Nasyiah,Male,2001-08-22,25,Yogyakarta,S1,Universitas Indonesia,Teknik Informatika,3.26,2,AK3,Reguler
C00118,B091,Jono Saptono,Male,2001-07-12,25,Yogyakarta,S1,Universitas Indonesia,Teknik Elektro,3.28,1,AK3,Reguler
C00119,B092,Wardi Tampubolon,Male,2003-06-07,23,Semarang,S1,Universitas Brawijaya,Hukum,3.68,0,None,Reguler
C00120,B091,Tasnim Prasasta,Female,2004-04-27,22,Bandung,S1,Universitas Indonesia,Teknik Informatika,3.61,0,TOEFL,Campus Hiring
C00121,B092,Intan Manullang,Male,2000-06-20,26,Balikpapan,S1,Universitas Diponegoro,Teknik Informatika,3.28,2,AK3,Reguler
C00122,B090,Zahra Palastri,Female,2003-09-02,23,Makassar,S1,Universitas Indonesia,Teknik Industri,3.64,2,None,Campus Hiring
C00123,B090,"Ilsa Suryatmi, M.TI.",Male,2002-07-19,24,Balikpapan,S1,Universitas Diponegoro,Teknik Sipil,3.08,1,None,Campus Hiring
C00124,B092,Mulyanto Puspasari,Female,2004-07-07,22,Makassar,S1,Universitas Gadjah Mada,Teknik Sipil,3.49,0,AWS CCP,Campus Hiring
C00125,B092,Salimah Jailani,Male,2001-04-18,25,Surabaya,S1,Universitas Brawijaya,Teknik Industri,3.77,0,None,Campus Hiring
C00126,B090,Eman Latupono,Female,2001-05-09,25,Surabaya,S1,Institut Teknologi Bandung,Teknik Informatika,3.06,0,None,Career Expo
C00127,B090,Paiman Puspasari,Male,2003-06-09,23,Medan,S1,Institut Teknologi Bandung,Teknik Informatika,3.29,0,None,Campus Hiring
C00128,B091,Empluk Suryono,Male,2002-11-21,24,Makassar,S1,Universitas Brawijaya,Teknik Sipil,3.87,0,None,Reguler
C00129,B092,R.A. Tina Siregar,Male,2000-11-26,26,Bandung,S1,Universitas Indonesia,Psikologi,2.99,1,None,Reguler
C00130,B092,Mahfud Usada,Female,2001-10-21,25,Pontianak,S1,Universitas Sebelas Maret,Teknik Industri,3.96,1,None,Reguler
C00131,B092,"Tgk. Ophelia Lestari, S.T.",Male,2004-04-22,22,Surabaya,S1,Universitas Padjadjaran,Sistem Informasi,2.92,1,None,Career Expo
C00132,B092,"Cut Cornelia Usada, S.Farm",Male,2005-07-17,21,Bandung,S1,Universitas Padjadjaran,Akuntansi,3.17,0,None,Reguler
C00133,B092,"Tgk. Aurora Adriansyah, S.Psi",Male,2004-03-01,22,Makassar,S1,Universitas Brawijaya,Teknik Sipil,3.97,2,None,Reguler
C00134,B092,"R.M. Makuta Saptono, S.E.",Female,2004-12-18,22,Pontianak,S1,Universitas Padjadjaran,Teknik Informatika,3.43,0,TOEFL,Reguler
C00135,B090,"Maimunah Puspasari, S.Farm",Female,2003-04-26,23,Yogyakarta,S1,Institut Teknologi Bandung,Teknik Sipil,2.8,0,Google Data Analytics,Career Expo
C00136,B091,Dt. Balidin Hutagalung,Female,2004-09-01,22,Jakarta,S1,Universitas Padjadjaran,Psikologi,3.76,2,TOEFL,Job Fair Kampus
C00137,B092,"Eka Palastri, S.Gz",Female,2004-09-14,22,Palembang,S1,Institut Teknologi Sepuluh Nopember,Teknik Mesin,3.12,1,None,Reguler
C00138,B090,"dr. Restu Puspasari, S.E.I",Female,2004-12-18,22,Surabaya,S1,Universitas Diponegoro,Psikologi,2.93,0,None,Campus Hiring
C00139,B090,Dian Gunarto,Female,2004-01-05,22,Yogyakarta,S2,Universitas Diponegoro,Teknik Informatika,2.95,0,None,Reguler
C00140,B092,Karimah Gunarto,Male,2004-08-07,22,Medan,S1,Universitas Brawijaya,Teknik Sipil,3.64,1,None,Reguler
C00141,B091,Fathonah Zulaika,Male,2005-07-03,21,Palembang,S1,Institut Teknologi Bandung,Teknik Mesin,2.95,0,AK3,Reguler
C00142,B091,Mulyanto Jailani,Female,2004-01-07,22,Makassar,S2,Universitas Padjadjaran,Teknik Elektro,3.62,0,None,Reguler
C00143,B092,Victoria Purwanti,Male,2001-09-17,25,Jakarta,S1,Institut Teknologi Sepuluh Nopember,Teknik Industri,3.97,1,None,Reguler
C00144,B092,"drg. Raina Mangunsong, S.H.",Male,2004-05-19,22,Makassar,S1,Telkom University,Teknik Mesin,2.99,0,AK3,Reguler
C00145,B091,"R. Wirda Nugroho, S.Farm",Female,2005-10-11,21,Surabaya,S1,Universitas Sebelas Maret,Administrasi Bisnis,3.75,0,None,Reguler
C00146,B090,Cemani Sitorus,Female,2001-08-24,25,Yogyakarta,S1,Institut Teknologi Bandung,Sistem Informasi,3.38,0,None,Reguler
C00147,B090,"dr. Rama Winarsih, S.H.",Female,2004-03-18,22,Pontianak,S1,Universitas Sebelas Maret,Sistem Informasi,2.99,0,None,Reguler
C00148,B091,Endah Kurniawan,Female,2002-08-01,24,Jakarta,S1,Telkom University,Ilmu Komunikasi,3.83,0,AK3,Reguler
C00149,B090,Ani Halimah,Male,2002-09-27,24,Surabaya,S1,Telkom University,Teknik Informatika,3.14,1,None,Reguler
C00150,B090,Daliono Haryanti,Male,2002-02-02,24,Bandung,S1,Universitas Brawijaya,Manajemen,3.03,0,None,Campus Hiring
C00151,B092,Ina Pradana,Female,2002-09-20,24,Bandung,S1,Institut Teknologi Bandung,Hukum,3.92,0,None,Campus Hiring
C00152,B092,Ajiono Wahyuni,Male,2003-11-02,23,Medan,S1,Institut Teknologi Bandung,Sistem Informasi,3.79,2,None,Reguler
C00153,B091,Heru Sitompul,Male,2000-02-07,26,Palembang,S1,Institut Teknologi Sepuluh Nopember,Akuntansi,3.03,0,TOEFL,Campus Hiring
C00154,B091,Zelaya Hidayat,Male,2002-09-14,24,Palembang,S1,Universitas Indonesia,Administrasi Bisnis,3.0,0,None,Reguler
C00155,B090,"T. Gara Yuniar, M.TI.",Female,2002-09-20,24,Medan,S1,Universitas Airlangga,Teknik Sipil,3.29,2,TOEFL,Career Expo
C00156,B091,Shania Nasyiah,Female,2002-10-18,24,Makassar,S1,Universitas Brawijaya,Teknik Informatika,3.95,2,None,Reguler
C00157,B092,Ana Latupono,Female,2002-09-05,24,Semarang,S2,Universitas Airlangga,Hukum,2.83,0,Google Data Analytics,Campus Hiring
C00158,B090,Elma Prastuti,Female,1999-09-18,27,Medan,S1,Universitas Gadjah Mada,Teknik Informatika,2.97,0,None,Campus Hiring
C00159,B091,Ani Kurniawan,Male,2004-05-03,22,Medan,S1,Universitas Brawijaya,Teknik Informatika,3.01,2,Google Data Analytics,Campus Hiring
C00160,B091,drg. Jelita Sihotang,Male,2002-05-02,24,Medan,S1,Universitas Airlangga,Ilmu Komunikasi,3.86,0,None,BUMN Bersama
C00161,B091,Rachel Melani,Male,2000-04-24,26,Palembang,S1,Institut Teknologi Bandung,Teknik Informatika,3.17,2,None,Campus Hiring
C00162,B092,Harsana Permata,Male,2003-12-08,23,Makassar,S1,Telkom University,Sistem Informasi,3.49,1,None,Reguler
C00163,B090,Dodo Gunawan,Female,2004-06-03,22,Bandung,S1,Universitas Padjadjaran,Sistem Informasi,3.4,0,AK3,Reguler
C00164,B092,"Maya Adriansyah, M.TI.",Male,2003-04-16,23,Balikpapan,S1,Institut Teknologi Sepuluh Nopember,Teknik Informatika,3.09,0,None,Reguler
C00165,B091,"Dr. Mahfud Winarsih, S.Kom",Male,2005-07-14,21,Jakarta,S1,Universitas Diponegoro,Teknik Mesin,3.0,0,None,Career Expo
C00166,B092,Mala Hidayat,Female,2002-08-02,24,Bandung,S1,Universitas Indonesia,Manajemen,3.69,0,None,Campus Hiring
C00167,B092,"Viman Sitompul, M.Ak",Male,2000-05-01,26,Medan,S1,Institut Teknologi Sepuluh Nopember,Teknik Elektro,3.69,0,None,Campus Hiring
C00168,B092,Salimah Maheswara,Female,2002-10-24,24,Pontianak,S1,Universitas Sebelas Maret,Administrasi Bisnis,2.85,1,None,Reguler
C00169,B090,"Ifa Mayasari, S.Pd",Female,2005-11-01,21,Medan,S1,Universitas Indonesia,Sistem Informasi,2.82,0,Google Data Analytics,Campus Hiring
C00170,B092,"Hasan Simbolon, S.Sos",Male,1997-09-23,29,Bandung,S1,Universitas Gadjah Mada,Teknik Sipil,3.04,0,AWS CCP,Campus Hiring
C00171,B091,"Ida Puspasari, S.E.I",Male,2005-09-10,21,Medan,S1,Universitas Airlangga,Teknik Industri,3.55,1,None,BUMN Bersama
C00172,B090,Imam Widiastuti,Female,2001-11-09,25,Semarang,S2,Universitas Gadjah Mada,Akuntansi,3.21,2,None,Reguler
C00173,B092,Shania Natsir,Female,2002-11-20,24,Surabaya,S1,Universitas Padjadjaran,Administrasi Bisnis,3.96,0,CCNA,Reguler
C00174,B091,Ir. Ilsa Waskita,Male,2004-03-19,22,Balikpapan,S1,Universitas Gadjah Mada,Teknik Mesin,3.32,2,CCNA,Job Fair Kampus
C00175,B090,Dt. Gadang Suwarno,Male,2003-09-18,23,Surabaya,S1,Institut Teknologi Bandung,Akuntansi,3.72,0,Google Data Analytics,Reguler
C00176,B092,Irfan Prastuti,Female,2003-12-27,23,Bandung,S1,Universitas Gadjah Mada,Administrasi Bisnis,3.02,0,AK3,Campus Hiring
C00177,B092,Hj. Janet Hastuti,Female,2002-10-08,24,Makassar,S1,Universitas Gadjah Mada,Teknik Mesin,3.4,1,TOEFL,Job Fair Kampus
C00178,B090,Maimunah Wulandari,Female,2004-07-16,22,Jakarta,S1,Universitas Diponegoro,Teknik Mesin,3.94,0,None,Campus Hiring
C00179,B092,Kajen Kusmawati,Male,2001-02-06,25,Medan,S1,Universitas Brawijaya,Psikologi,3.87,2,None,Job Fair Kampus
