ID_PENDAFTARAN,NAMA REKRUTMEN,JENJANG,USIA,PRODI,JURUSAN ASAL PERGURUAN TINGGI / SEKOLAH,NEM/IPK,GELAR,JENIS KELAMIN,NAMA,AGAMA,STATUS,NO KTP,NO PONSEL,EMAIL,TAHUN LAHIR,BULAN LAHIR,TANGGAL LAHIR,TEMPAT LAHIR,KOTA KTP,ALAMAT KTP,KODE POS,TAHUN LULUS SMA,TAHUN MASUK SMA,TAHUN LULUS SMP,TAHUN MASUK SMP,TAHUN LULUS SD,TAHUN MASUK SD,ASAL SD/KOTA,ASAL SMP/KOTA,ASAL SMA/KOTA,UKURAN BAJU,UKURAN SEPATU,UKURAN CELANA,VERIFIKATOR,UMUR,STATUS NIKAH,IPK,JURUSAN,KTP,AKTA,IJAZAH,TRANSKRIP,ENGLISH SKILL
REG-2026-00011,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,22,TEKNIK SIPIL,Universitas Jenderal Soedirman,3.87,S.T.,Laki-laki,Gara Haryanto,Islam,Belum Kawin,3078578352604156,+62 (0516) 699-6208,garaharyan541@pln.co.id,2004,12,15,Sibolga,Sibolga,Jalan Jayawijaya No. 295,32326,2022,2019,2019,2016,2016,2010,Ternate,Bontang,Tanjungpinang,XL,38,39,Maya Kusuma,1,1,1,1,1,1,1,1,1
REG-2026-00012,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,23,TEKNIK INFORMATIKA,Universitas Pendidikan Indonesia,3.01,A.Md.T.,Perempuan,Juli Hartati,Islam,Belum Kawin,9924139491041194,(0538) 545 0947,julihartat113@gmail.com,2003,5,6,Malang,Malang,Jalan Pelajar Pejuang No. 4,87175,2021,2018,2018,2015,2015,2009,Subulussalam,Tanjungpinang,Purwokerto,XXXL,40,37,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-00013,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,TEKNIK LINGKUNGAN,Universitas Gadjah Mada,3.13,S.T.,Laki-laki,Argono Adriansyah,Islam,Belum Kawin,1622952519428881,(029) 457-5312,argonoadri87@yahoo.com,2001,11,10,Banjarbaru,Banjarbaru,Jalan Pacuan Kuda No. 55,12140,2019,2016,2016,2013,2013,2007,Kediri,Metro,Ternate,S,40,30,Andi Wijaya,1,1,1,1,1,1,1,1,1
REG-2026-00014,REKRUTMEN PLN GROUP TINGKAT S2 DIASPORA FRESH GRADUATE,S2,28,ADMINISTRASI BISNIS,Universitas Indonesia,3.32,M.M.,Laki-laki,Gandi Hakim,Islam,Belum Kawin,9678480355640034,+62 (94) 068 1048,gandihakim672@pln.co.id,1998,3,17,Tasikmalaya,Tasikmalaya,Jalan Pasteur No. 1,26855,2016,2013,2013,2010,2010,2004,Tegal,Kota Administrasi Jakarta Selatan,Banjarmasin,M,39,27,Ratna Sari,1,1,1,1,1,1,1,1,1
REG-2026-00015,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,25,ADMINISTRASI,Institut Teknologi Bandung,3.86,A.Md.,Perempuan,Gabriella Pudjiastuti,Kristen,Belum Kawin,8137883075122151,084 458 5863,gabriellap992@outlook.com,2001,5,2,Payakumbuh,Payakumbuh,Jalan Jakarta No. 67,12298,2019,2016,2016,2013,2013,2007,Langsa,Madiun,Bogor,S,45,27,Eko Prasetyo,1,1,1,1,1,1,1,1,1
REG-2026-00016,REKRUTMEN PLN GROUP TINGKAT S1 DIASPORA FRESH GRADUATE,S1,21,PSIKOLOGI,Institut Teknologi Nasional,3.51,S.E.,Perempuan,Yunita Puspasari,Islam,Kawin,6476259728236390,+62-0285-456-3325,yunitapusp576@pln.co.id,2005,6,20,Kota Administrasi Jakarta Utara,Kota Administrasi Jakarta Utara,Gg. Pasirkoja No. 1,79455,2023,2020,2020,2017,2017,2011,Tanjungpinang,Kupang,Pontianak,XL,45,35,Fajar Kurniawan,1,0,1,1,1,1,1,1,1
REG-2026-00017,REKRUTMEN PLN GROUP TINGKAT S1 DIASPORA FRESH GRADUATE,S1,22,MANAJEMEN BISNIS,Universitas Airlangga,3.71,S.E.,Laki-laki,Aslijan Napitupulu,Islam,Belum Kawin,6918722275384249,(011) 468-8570,aslijannap681@pln.co.id,2004,5,6,Tanjungbalai,Tanjungbalai,Gang Bangka Raya No. 926,79998,2022,2019,2019,2016,2016,2010,Bandar Lampung,Lhokseumawe,Meulaboh,XXXL,38,41,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-00018,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,TEKNIK ELEKTRO,Universitas Muhammadiyah Yogyakarta,3.06,S.T.,Laki-laki,Dartono Latupono,Islam,Belum Kawin,9094959771253603,+62 (098) 266-3783,dartonolat509@yahoo.com,2001,8,9,Salatiga,Salatiga,Gang Gegerkalong Hilir No. 7,22531,2019,2016,2016,2013,2013,2007,Denpasar,Tanjungbalai,Tegal,S,42,32,Andi Wijaya,1,1,1,1,1,1,1,1,1
REG-2026-00019,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,22,MANAJEMEN BISNIS,Universitas Diponegoro,3.65,S.E.,Perempuan,Karen Wahyuni,Islam,Belum Kawin,5084313584927400,+62 (0677) 541-9177,karenwahyu877@yahoo.com,2004,10,1,Solok,Solok,Jalan HOS. Cokroaminoto No. 3,23977,2022,2019,2019,2016,2016,2010,Dumai,Padang Sidempuan,Sorong,XXXL,39,32,Rudi Haryanto,1,1,1,1,1,1,1,1,1
REG-2026-00020,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,23,TEKNIK MESIN,Institut Teknologi Sepuluh Nopember,3.32,S.T.,Perempuan,Azalea Kuswandari,Kristen,Belum Kawin,8966913732069555,(0813) 825 0943,azaleakusw746@yahoo.com,2003,4,13,Pagaralam,Pagaralam,Gg. Raya Ujungberung No. 75,87402,2021,2018,2018,2015,2015,2009,Kediri,Pasuruan,Lubuklinggau,S,44,32,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-00021,REKRUTMEN PLN GROUP PUTRA-PUTRI ASLI MALUKU DAN NUSA TENGGARA,D3,22,AKUNTANSI,Universitas Gadjah Mada,3.22,A.Md.,Laki-laki,Kasusra Prasetyo,Islam,Belum Kawin,9336847745304476,+62-060-980-9576,kasusrapra572@outlook.com,2004,4,23,Kupang,Kupang,Gang Lembong No. 6,46396,2022,2019,2019,2016,2016,2010,Tarakan,Purwokerto,Kediri,S,38,34,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-00022,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,23,TEKNIK MESIN,Universitas Brawijaya,3.92,S.T.,Perempuan,Maimunah Suartini,Islam,Belum Kawin,6666539754814460,+62-0672-840-0113,maimunahsu379@gmail.com,2003,11,25,Denpasar,Denpasar,Gang R.E Martadinata No. 090,10953,2021,2018,2018,2015,2015,2009,Sorong,Banda Aceh,Kediri,XXL,39,29,Andi Wijaya,1,1,1,1,1,1,1,1,1
REG-2026-00023,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,21,AKUNTANSI,IPB University,3.34,A.Md.,Laki-laki,Prabu Mustofa,Kristen,Kawin,5787254729033823,+62 (59) 166 6513,prabumusto484@outlook.com,2005,2,1,Lubuklinggau,Lubuklinggau,Gang Waringin No. 474,35207,2023,2020,2020,2017,2017,2011,Sukabumi,Dumai,Tasikmalaya,XXXL,38,29,Ratna Sari,1,0,1,1,1,1,1,1,1
REG-2026-00024,REKRUTMEN PLN GROUP PUTRA-PUTRI ASLI MALUKU DAN NUSA TENGGARA,S1,21,Sastra Mesir Kuno,BINUS University,3.66,S.E.,Perempuan,Rahayu Lailasari,Islam,Belum Kawin,4204365787485468,+62 (0919) 406 0369,rahayulail22@pln.co.id,2005,12,10,Mataram,Mataram,Gg. Siliwangi No. 0,41060,2023,2020,2020,2017,2017,2011,Samarinda,Palembang,Padangpanjang,L,38,33,Fajar Kurniawan,1,1,1,0,1,1,1,1,1
REG-2026-00025,REKRUTMEN PLN GROUP TINGKAT S1 DIASPORA FRESH GRADUATE,S1,25,TEKNIK LISTRIK,Universitas Diponegoro,4.0,S.T.,Laki-laki,Kala Hakim,Islam,Belum Kawin,9917849016204260,+62 (037) 322 9906,kalahakim419@yahoo.com,2001,1,23,Palangkaraya,Palangkaraya,Gang Pasirkoja No. 4,60184,2019,2016,2016,2013,2013,2007,Banjarmasin,Payakumbuh,Pekanbaru,L,44,28,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-00026,Rekrutmen PLN Group Tingkat S2 Pro Hire,S2,24,MANAJEMEN INVESTASI BANK,Universitas Indonesia,3.73,M.M.,Laki-laki,Endra Mangunsong,Islam,Belum Kawin,7321288955074377,(046) 577-6570,endramangu898@yahoo.com,2002,12,11,Yogyakarta,Yogyakarta,Gg. Moch. Toha No. 5,43436,2020,2017,2017,2014,2014,2008,Semarang,Samarinda,Kota Administrasi Jakarta Utara,L,41,36,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-00027,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,23,TEKNIK PERTAMBANGAN,Universitas Negeri Yogyakarta,3.43,S.T.,Laki-laki,Galur Wibowo,Islam,Belum Kawin,2284432172165974,+62 (0114) 267-1234,galurwibow116@pln.co.id,2003,8,12,Tegal,Tegal,Gg. Sadang Serang No. 65,25052,2021,2018,2018,2015,2015,2009,Mataram,Pontianak,Bukittinggi,S,44,29,Lina Marlina,1,1,1,1,1,1,1,1,1
REG-2026-00028,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,24,KONVERSI ENERGI,Universitas Sumatera Utara,3.41,S.E.,Perempuan,Amalia Agustina,Islam,Belum Kawin,7924017975468381,+62-700-538-2354,amaliaagus555@yahoo.com,2002,12,23,Lubuklinggau,Lubuklinggau,Gg. Cihampelas No. 55,40861,2020,2017,2017,2014,2014,2008,Malang,Tual,Serang,XL,41,28,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-00029,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,22,PROGRAM STUDI LAINNYA NON TEKNIK,Universitas Gadjah Mada,3.44,A.Md.T.,Laki-laki,Pandu Pangestu,Islam,Belum Kawin,8975889732417564,+62 (13) 974 7253,pandupange129@gmail.com,2004,1,7,Surakarta,Surakarta,Jl. Gardujati No. 1,29553,2022,2019,2019,2016,2016,2010,Madiun,Tarakan,Serang,XL,41,35,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-00030,REKRUTMEN PLN GROUP DIRECT SHOPPING,S1,22,ELEKTRONIKA DAN INSTRUMENTASI,Institut Teknologi Sepuluh Nopember,3.34,S.E.,Perempuan,Cindy Nasyidah,Islam,Kawin,8734381520713517,0866096668,cindynasyi775@pln.co.id,2004,8,25,Depok,Depok,Gang Rajawali Timur No. 6,67418,2022,2019,2019,2016,2016,2010,Tangerang,Palu,Lhokseumawe,L,45,29,Fajar Kurniawan,1,0,1,1,1,1,1,1,1
REG-2026-00031,REKRUTMEN PLN GROUP TINGKAT S1 DIASPORA FRESH GRADUATE,S1,23,KOMUNIKASI,Universitas Negeri Yogyakarta,3.02,S.E.,Laki-laki,Hari Sihotang,Islam,Belum Kawin,0454694973550168,+62 (048) 863 4110,harisihota944@pln.co.id,2003,1,20,Magelang,Magelang,Gang Rajawali Timur No. 147,66427,2021,2018,2018,2015,2015,2009,Serang,Batam,Pekanbaru,L,41,32,Maya Kusuma,1,1,1,1,1,1,1,1,1
REG-2026-00032,REKRUTMEN PLN GROUP TINGKAT S1 DIASPORA FRESH GRADUATE,S1,22,Sastra Mesir Kuno,Institut Teknologi Bandung,3.15,S.E.,Laki-laki,Ismail Mahendra,Islam,Belum Kawin,6776556111097898,(0033) 269-7620,ismailmahe864@pln.co.id,2004,12,17,Kota Administrasi Jakarta Timur,Kota Administrasi Jakarta Timur,Gg. Dipenogoro No. 16,34892,2022,2019,2019,2016,2016,2010,Tasikmalaya,Parepare,Denpasar,L,40,28,Rudi Haryanto,1,1,1,0,1,1,1,1,1
REG-2026-00033,REKRUTMEN PLN GROUP PUTRA-PUTRI ASLI MALUKU DAN NUSA TENGGARA,S1,25,TEKNIK MESIN,Universitas Padjadjaran,3.01,S.T.,Laki-laki,Ikin Hidayanto,Islam,Belum Kawin,4332616493511262,+62 (80) 416-3982,ikinhidaya658@pln.co.id,2001,6,24,Mataram,Mataram,Jalan Dipenogoro No. 0,99366,2019,2016,2016,2013,2013,2007,Salatiga,Bengkulu,Meulaboh,XXXL,45,33,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-00034,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,26,ADMINISTRASI BISNIS,Telkom University,3.62,M.M.,Perempuan,Rahmi Nasyidah,Islam,Belum Kawin,9019413511398329,+62 (065) 001-1842,rahminasyi858@pln.co.id,2000,2,4,Sawahlunto,Sawahlunto,Gg. HOS. Cokroaminoto No. 817,52829,2018,2015,2015,2012,2012,2006,Surabaya,Sawahlunto,Kota Administrasi Jakarta Selatan,XXXL,39,30,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-00035,REKRUTMEN PUTRA-PUTRI ASLI PAPUA,S1,24,AKUNTANSI,Universitas Tadulako,3.2,S.E.,Laki-laki,Bakiman Ramadan,Kristen,Belum Kawin,0177120796487332,(081) 577 4197,bakimanram767@yahoo.com,2002,2,28,Wamena,Wamena,Gg. R.E Martadinata No. 02,03947,2020,2017,2017,2014,2014,2008,Kendari,Pasuruan,Pasuruan,M,45,42,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-00036,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,28,MANAJEMEN BISNIS,Universitas Lampung,3.2,M.M.,Laki-laki,Prima Utama,Islam,Belum Kawin,4382948186438282,+62 (478) 737 5630,primautama257@yahoo.com,1998,9,12,Sibolga,Sibolga,Jl. Sukajadi No. 018,00301,2016,2013,2013,2010,2010,2004,Palopo,Kediri,Bima,XL,40,41,Dewi Lestari,1,1,1,1,1,1,1,1,1
REG-2026-00037,Rekrutmen PLN Group Tingkat S2 Pro Hire,S2,28,MANAJEMEN PROYEK,Universitas Lambung Mangkurat,3.58,M.M.,Laki-laki,Jayadi Mangunsong,Islam,Kawin,5997095502795648,082 269 7996,jayadimang376@pln.co.id,1998,12,17,Sabang,Sabang,Gang Kebonjati No. 98,70971,2016,2013,2013,2010,2010,2004,Pekanbaru,Sibolga,Balikpapan,S,39,40,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-00038,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,21,KOMUNIKASI,Universitas Airlangga,3.32,S.E.,Laki-laki,Umay Latupono,Katolik,Belum Kawin,7107816330193615,(0445) 776 4534,umaylatupo271@pln.co.id,2005,6,25,Surabaya,Surabaya,Gg. Kapten Muslihat No. 61,61155,2023,2020,2020,2017,2017,2011,Manado,Cimahi,Kota Administrasi Jakarta Timur,XXXL,43,41,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-00039,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,23,KEUANGAN,Universitas Sumatera Utara,3.07,A.Md.,Perempuan,Sakura Nurdiyanti,Islam,Belum Kawin,2135992807714878,+62-0196-754-0467,sakuranurd357@outlook.com,2003,3,15,Kota Administrasi Jakarta Barat,Kota Administrasi Jakarta Barat,Jl. Jamika No. 20,18379,2021,2018,2018,2015,2015,2009,Bandar Lampung,Banjarmasin,Bekasi,XL,36,36,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-00040,Rekrutmen PLN Group Tingkat S2 Fresh Graduate,S2,27,TEKNIK KIMIA,Universitas Negeri Jakarta,3.99,M.M.,Laki-laki,Ismail Prasetyo,Islam,Kawin,9580216616758915,(027) 573 1617,ismailpras401@outlook.com,1999,2,15,Sawahlunto,Sawahlunto,Jl. Jamika No. 46,96301,2017,2014,2014,2011,2011,2005,Batam,Bekasi,Pagaralam,XXL,39,32,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-00041,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,25,TEKNIK SIPIL,Universitas Trisakti,3.15,S.T.,Perempuan,Mutia Usada,Islam,Belum Kawin,3052760481313391,+62 (336) 689-2275,mutiausada586@outlook.com,2001,7,17,Gorontalo,Gorontalo,Gg. HOS. Cokroaminoto No. 35,45295,2019,2016,2016,2013,2013,2007,Tual,Sibolga,Tasikmalaya,M,44,33,Maya Kusuma,1,1,1,1,1,1,1,1,1
REG-2026-00042,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,22,TEKNIK PERTAMBANGAN,Universitas Diponegoro,3.07,S.T.,Laki-laki,Darmaji Tampubolon,Islam,Belum Kawin,0453477594830214,085 424 7639,darmajitam633@yahoo.com,2004,8,9,Meulaboh,Meulaboh,Gg. Ahmad Dahlan No. 978,41773,2022,2019,2019,2016,2016,2010,Tasikmalaya,Sukabumi,Tanjungpinang,XXXL,43,33,Andi Wijaya,1,1,1,1,1,1,1,1,1
REG-2026-00043,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,23,KONVERSI ENERGI,Institut Teknologi Sepuluh Nopember,3.0,S.E.,Perempuan,Dian Permata,Islam,Belum Kawin,6846293114004984,+62 (0303) 686 8502,dianpermat545@yahoo.com,2003,1,2,Tanjungpinang,Tanjungpinang,Gang Ciumbuleuit No. 492,81463,2021,2018,2018,2015,2015,2009,Cimahi,Pekalongan,Binjai,L,45,30,Rudi Haryanto,1,1,1,1,1,1,1,1,1
REG-2026-00044,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,21,ENERGI BARU TERBARUKAN,Universitas Negeri Yogyakarta,3.87,S.E.,Laki-laki,Liman Megantara,Islam,Belum Kawin,6576230872269754,(067) 763 5997,limanmegan476@outlook.com,2005,11,10,Pekanbaru,Pekanbaru,Gg. H.J Maemunah No. 3,33797,2023,2020,2020,2017,2017,2011,Magelang,Jayapura,Dumai,M,42,29,Ratna Sari,1,1,1,1,1,1,1,1,1
REG-2026-00045,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,21,HUKUM,Universitas Pendidikan Indonesia,3.35,S.H.,Perempuan,Calista Suryatmi,Islam,Belum Kawin,9079217647093658,+62-052-823-6559,calistasur250@gmail.com,2005,5,20,Banda Aceh,Banda Aceh,Gg. Otto Iskandardinata No. 6,79390,2023,2020,2020,2017,2017,2011,Sungai Penuh,Semarang,Banjar,XL,43,38,Andi Wijaya,1,1,1,1,1,1,1,1,1
REG-2026-00046,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,D3,22,ADMINISTRASI BISNIS,Universitas Indonesia,3.05,A.Md.,Perempuan,Puput Susanti,Islam,Belum Kawin,2167732728268867,+62 (27) 338-2569,puputsusan396@outlook.com,2004,2,16,Subulussalam,Subulussalam,Gang Jend. Sudirman No. 2,00818,2022,2019,2019,2016,2016,2010,Pekalongan,Tanjungpinang,Lubuklinggau,L,37,32,Budi Santoso,1,1,1,1,1,1,1,1,1
REG-2026-00047,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,21,ADMINISTRASI BISNIS,Universitas Lampung,3.65,S.E.,Perempuan,Hani Suartini,Islam,Belum Kawin,2376007315046616,+62-32-500-2054,hanisuarti169@gmail.com,2005,2,13,Bukittinggi,Bukittinggi,Jalan Antapani Lama No. 281,12581,2023,2020,2020,2017,2017,2011,Palembang,Tasikmalaya,Pematangsiantar,XXXL,39,34,Fajar Kurniawan,1,1,1,1,1,1,1,1,1
REG-2026-00048,Rekrutmen PLN Group Tingkat S2 Pro Hire,S2,24,TEKNIK ELEKTRO,Universitas Udayana,3.67,M.M.,Perempuan,Kani Susanti,Islam,Belum Kawin,5997859105863647,(0123) 271 1923,kanisusant824@pln.co.id,2002,12,25,Tasikmalaya,Tasikmalaya,Gang Bangka Raya No. 3,93216,2020,2017,2017,2014,2014,2008,Probolinggo,Bandar Lampung,Tual,XXL,45,30,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-00049,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,23,DATA SCIENCE,Universitas Sumatera Utara,3.34,S.T.,Perempuan,Halima Winarsih,Islam,Belum Kawin,3318570194685310,+62 (69) 212 1072,halimawina82@outlook.com,2003,3,9,Salatiga,Salatiga,Jalan Cikutra Timur No. 61,96320,2021,2018,2018,2015,2015,2009,Kendari,Blitar,Kendari,M,37,38,Andi Wijaya,1,1,1,1,1,1,1,1,1
REG-2026-00050,REKRUTMEN PLN GROUP TINGKAT S1/D4 DAN D3,S1,24,TEKNIK SIPIL,Universitas Gadjah Mada,3.71,S.T.,Laki-laki,Karsana Jailani,Islam,Belum Kawin,4435519388651935,(033) 606-4280,karsanajai220@yahoo.com,2002,10,14,Bontang,Bontang,Jl. Gedebage Selatan No. 66,97423,2020,2017,2017,2014,2014,2008,Bandung,Palu,Gorontalo,L,41,38,Siti Aminah,1,1,1,1,1,1,1,1,1
REG-2026-00051,REKRUTMEN PLN GROUP TINGKAT S2 DIASPORA FRESH GRADUATE,S2,26,MANAJEMEN,Universitas Diponegoro,3.29,M.M.,Perempuan,Melinda Rahayu,Islam,Belum Kawin,8590291997268317,+62 (146) 771 5508,melindarah851@pln.co.id,2000,3,20,Padangpanjang,Padangpanjang,Gg. Suryakencana No. 53,56233,2018,2015,2015,2012,2012,2006,Palembang,Parepare,Sibolga,L,40,33,Rudi Haryanto,1,1,1,1,1,1,1,1,1
