NO TES,EMAIL,NAMA,PRODI,Ak Jawaban Benar,Ak Jawaban Salah,Ak Jawaban Kosong,Ak Skor,En Jawaban Benar,En Jawaban Salah,En Jawaban Kosong,En Skor,TOTAL SKOR AKDING
TES-AKD-2026-00035,darmajitam633@yahoo.com,Darmaji Tampubolon,TEKNIK PERTAMBANGAN,35,14,1,126,28,18,4,94,220
TES-AKD-2026-00036,dianpermat545@yahoo.com,Dian Permata,KONVERSI ENERGI,32,13,5,115,23,24,3,68,183
TES-AKD-2026-00037,limanmegan476@outlook.com,Liman Megantara,ENERGI BARU TERBARUKAN,28,19,3,93,37,8,5,140,233
TES-AKD-2026-00038,calistasur250@gmail.com,Calista Suryatmi,HUKUM,24,24,2,72,35,15,0,125,197
TES-AKD-2026-00039,puputsusan396@outlook.com,Puput Susanti,ADMINISTRASI BISNIS,30,17,3,103,30,15,5,105,208
TES-AKD-2026-00040,hanisuarti169@gmail.com,Hani Suartini,ADMINISTRASI BISNIS,29,18,3,98,34,12,4,124,222
TES-AKD-2026-00041,kanisusant824@pln.co.id,Kani Susanti,TEKNIK ELEKTRO,39,7,4,149,19,30,1,46,195
TES-AKD-2026-00042,halimawina82@outlook.com,Halima Winarsih,DATA SCIENCE,47,1,2,187,14,32,4,24,211
TES-AKD-2026-00043,karsanajai220@yahoo.com,Karsana Jailani,TEKNIK SIPIL,38,7,5,145,45,5,0,175,320
TES-AKD-2026-00044,melindarah851@pln.co.id,Melinda Rahayu,MANAJEMEN,36,11,3,133,36,11,3,133,266
TES-AKD-2026-00045,chelseawul339@outlook.com,Chelsea Wulandari,MANAJEMEN PEMASARAN,30,15,5,105,17,30,3,38,143
TES-AKD-2026-00046,rikawahyun444@gmail.com,Rika Wahyuni,MANAJEMEN PEMASARAN,29,21,0,95,18,31,1,41,136
TES-AKD-2026-00047,ichapuspit109@yahoo.com,Icha Puspita,ENERGI BARU TERBARUKAN,41,9,0,155,47,0,3,188,343
TES-AKD-2026-00048,martakabud343@gmail.com,Martaka Budiman,AKUNTANSI,28,21,1,91,30,17,3,103,194
TES-AKD-2026-00049,onisuryatm80@pln.co.id,Oni Suryatmi,DIGITAL MARKETING DAN ANALYTICS,29,16,5,100,27,18,5,90,190
TES-AKD-2026-00050,dalimasudi565@gmail.com,Dalima Sudiati,MANAJEMEN BISNIS,27,19,4,89,14,31,5,25,114
TES-AKD-2026-00051,auroraandr625@outlook.com,Aurora Andriani,DIGITAL MARKETING DAN ANALYTICS,20,29,1,51,42,4,4,164,215
TES-AKD-2026-00052,pariswinar290@gmail.com,Paris Winarsih,TEKNIK LISTRIK,41,7,2,157,28,22,0,90,247
TES-AKD-2026-00053,najammanul409@pln.co.id,Najam Manullang,MANAJEMEN PEMASARAN,26,20,4,84,23,24,3,68,152
TES-AKD-2026-00054,danujapray755@gmail.com,Danuja Prayoga,ADMINISTRASI BISNIS,39,8,3,148,36,13,1,131,279
TES-AKD-2026-00055,sabrisalah23@gmail.com,Sabri Salahudin,MANAJEMEN,38,9,3,143,31,14,5,110,253
TES-AKD-2026-00056,lidyakusma310@pln.co.id,Lidya Kusmawati,HUKUM,43,4,3,168,30,15,5,105,273
TES-AKD-2026-00057,fitrianimu891@pln.co.id,Fitriani Mulyani,ELEKTRONIKA DAN INSTRUMENTASI,31,16,3,108,22,28,0,60,168
TES-AKD-2026-00058,rinipratiw912@outlook.com,Rini Pratiwi,MANAJEMEN PROYEK,24,23,3,73,26,19,5,85,158
TES-AKD-2026-00059,balamantri984@outlook.com,Balamantri Prasetyo,MANAJEMEN PEMASARAN,38,10,2,142,33,14,3,118,260
TES-AKD-2026-00060,lintanghas841@pln.co.id,Lintang Hassanah,TEKNIK MESIN,27,23,0,85,28,22,0,90,175
TES-AKD-2026-00061,julisafitr107@outlook.com,Juli Safitri,PSIKOLOGI,18,32,0,40,30,19,1,101,141
TES-AKD-2026-00062,wanisafitr579@yahoo.com,Wani Safitri,TEKNIK MESIN,37,11,2,137,28,20,2,92,229
TES-AKD-2026-00063,ikanurdiya14@yahoo.com,Ika Nurdiyanti,AKUNTANSI,21,29,0,55,23,24,3,68,123
TES-AKD-2026-00064,harsayapra702@outlook.com,Harsaya Prabowo,PROGRAM STUDI LAINNYA NON TEKNIK,37,8,5,140,34,12,4,124,264
TES-AKD-2026-00065,pranatamar157@gmail.com,Pranata Marpaung,BIG DATA DAN BUSINESS INTELLIGENCE,30,20,0,100,29,19,2,97,197
TES-AKD-2026-00066,kaylamayas40@gmail.com,Kayla Mayasari,MANAJEMEN BISNIS,24,24,2,72,40,5,5,155,227
TES-AKD-2026-00067,rinipurwan196@yahoo.com,Rini Purwanti,TEKNIK KIMIA,38,12,0,140,33,14,3,118,258
TES-AKD-2026-00068,marwataman458@yahoo.com,Marwata Mandala,TEKNIK KIMIA,42,5,3,163,21,28,1,56,219
TES-AKD-2026-00069,akarsanada195@gmail.com,Akarsana Damanik,TEKNIK INFORMATIKA,36,12,2,132,41,7,2,157,289
TES-AKD-2026-00070,pangestusi944@outlook.com,Pangestu Sitompul,ADMINISTRASI BISNIS,39,7,4,149,35,10,5,130,279
TES-AKD-2026-00071,omansaragi891@outlook.com,Oman Saragih,KOMUNIKASI,27,22,1,86,26,19,5,85,171
TES-AKD-2026-00072,unggultari466@yahoo.com,Unggul Tarihoran,TEKNIK GEODESI,36,12,2,132,34,15,1,121,253
TES-AKD-2026-00073,wasisputra673@outlook.com,Wasis Putra,DATA SCIENCE,31,14,5,110,38,11,1,141,251
TES-AKD-2026-00074,yunimaryat11@gmail.com,Yuni Maryati,PSIKOLOGI,24,22,4,74,23,23,4,69,143
TES-AKD-2026-00075,bellaperti119@outlook.com,Bella Pertiwi,TEKNIK ELEKTRO,34,16,0,120,46,2,2,182,302
TES-AKD-2026-00076,darmanmaul672@gmail.com,Darman Maulana,DATA SCIENCE,33,14,3,118,26,22,2,82,200
TES-AKD-2026-00077,pujisusant220@outlook.com,Puji Susanti,BIG DATA DAN BUSINESS INTELLIGENCE,39,9,2,147,35,13,2,127,274
TES-AKD-2026-00078,jasminmaya472@outlook.com,Jasmin Mayasari,ADMINISTRASI BISNIS,21,29,0,55,16,31,3,33,88
TES-AKD-2026-00079,kuntharanu871@pln.co.id,Kunthara Nugroho,TEKNIK BIOENERGI,49,1,0,195,24,24,2,72,267
TES-AKD-2026-00080,cahyosanto381@gmail.com,Cahyo Santoso,TEKNIK GEOLOGI,18,29,3,43,31,18,1,106,149
TES-AKD-2026-00081,adesantoso638@pln.co.id,Ade Santoso,MANAJEMEN PEMASARAN,39,7,4,149,41,6,3,158,307
TES-AKD-2026-00082,aswanirama664@yahoo.com,Aswani Ramadan,KEUANGAN,32,16,2,112,49,0,1,196,308
TES-AKD-2026-00083,hasimprayo813@gmail.com,Hasim Prayoga,PROGRAM STUDI LAINNYA TEKNIK,36,10,4,134,26,19,5,85,219
TES-AKD-2026-00084,digdayanar807@outlook.com,Digdaya Narpati,KONVERSI ENERGI,27,18,5,90,31,16,3,108,198
TES-AKD-2026-00085,amalialaks752@outlook.com,Amalia Laksita,BIG DATA DAN BUSINESS INTELLIGENCE,25,24,1,76,31,19,0,105,181
TES-AKD-2026-00086,jayadipras367@pln.co.id,Jayadi Prasasta,DATA SCIENCE,40,5,5,155,31,18,1,106,261
TES-AKD-2026-00087,jamalsarag384@gmail.com,Jamal Saragih,ENERGI BARU TERBARUKAN,27,23,0,85,33,16,1,116,201
TES-AKD-2026-00088,putrinurai954@yahoo.com,Putri Nuraini,PROGRAM STUDI LAINNYA NON TEKNIK,30,19,1,101,40,6,4,154,255
TES-AKD-2026-00089,garangtamb954@pln.co.id,Garang Tamba,TEKNIK INFORMATIKA,32,15,3,113,24,21,5,75,188
TES-AKD-2026-00090,devinurain471@outlook.com,Devi Nuraini,SAFETY ENGINEERING,44,3,3,173,28,17,5,95,268
TES-AKD-2026-00091,nurulyunia353@pln.co.id,Nurul Yuniar,TEKNIK MATERIAL,32,17,1,111,26,24,0,80,191
TES-AKD-2026-00092,dianamardh871@pln.co.id,Diana Mardhiyah,SUPPLY CHAIN MANAGEMENT,29,20,1,96,26,19,5,85,181
TES-AKD-2026-00093,dalionoraj145@outlook.com,Daliono Rajasa,KEUANGAN,31,18,1,106,42,8,0,160,266
TES-AKD-2026-00094,yuninasyid546@gmail.com,Yuni Nasyidah,MANAJEMEN PROYEK,21,29,0,55,34,15,1,121,176
TES-AKD-2026-00095,kambalitam585@yahoo.com,Kambali Tamba,AKUNTANSI,30,17,3,103,41,9,0,155,258
TES-AKD-2026-00096,diannasyid787@gmail.com,Dian Nasyidah,ADMINISTRASI,33,13,4,119,31,14,5,110,229
TES-AKD-2026-00097,maryadimus564@yahoo.com,Maryadi Mustofa,TEKNIK MESIN,34,15,1,121,37,8,5,140,261
TES-AKD-2026-00098,zelayafari154@pln.co.id,Zelaya Farida,TEKNIK KIMIA,47,0,3,188,24,25,1,71,259
TES-AKD-2026-00099,dononababa193@gmail.com,Dono Nababan,ENERGI BARU TERBARUKAN,34,16,0,120,36,11,3,133,253
TES-AKD-2026-00100,kandadabuk838@yahoo.com,Kanda Dabukke,TEKNIK MESIN,34,12,4,124,29,21,0,95,219
TES-AKD-2026-00101,damugunawa304@outlook.com,Damu Gunawan,MANAJEMEN PEMASARAN,25,21,4,79,29,19,2,97,176
TES-AKD-2026-00102,kuncarawij855@outlook.com,Kuncara Wijaya,MANAJEMEN ASET,21,25,4,59,37,10,3,138,197
TES-AKD-2026-00103,iraastuti801@yahoo.com,Ira Astuti,SAFETY ENGINEERING,33,17,0,115,44,2,4,174,289
TES-AKD-2026-00104,karenhastu245@pln.co.id,Karen Hastuti,MANAJEMEN BISNIS,45,4,1,176,37,10,3,138,314
TES-AKD-2026-00105,mustofamar23@pln.co.id,Mustofa Marpaung,PSIKOLOGI,48,0,2,192,45,4,1,176,368
TES-AKD-2026-00106,tirtayasap83@gmail.com,Tirtayasa Prasetyo,ADMINISTRASI BISNIS,22,26,2,62,27,21,2,87,149
TES-AKD-2026-00107,anaaryani103@gmail.com,Ana Aryani,ADMINISTRASI BISNIS,37,12,1,136,26,19,5,85,221
TES-AKD-2026-00108,parmansiho664@gmail.com,Parman Sihombing,TEKNIK SIPIL,20,27,3,53,33,14,3,118,171
TES-AKD-2026-00109,heryantona240@yahoo.com,Heryanto Napitupulu,ADMINISTRASI,36,14,0,130,26,21,3,83,213
TES-AKD-2026-00110,putrirahma721@outlook.com,Putri Rahmawati,MANAJEMEN KEUANGAN,26,19,5,85,30,18,2,102,187
TES-AKD-2026-00111,fitriakusw374@gmail.com,Fitria Kuswandari,TEKNIK GEODESI,48,1,1,191,48,0,2,192,383
TES-AKD-2026-00112,saktimangu342@yahoo.com,Sakti Mangunsong,MANAJEMEN ASET,20,29,1,51,38,10,2,142,193
TES-AKD-2026-00113,jatmikotha748@gmail.com,Jatmiko Thamrin,AKUNTANSI,21,28,1,56,25,22,3,78,134
TES-AKD-2026-00114,mujurlatup238@yahoo.com,Mujur Latupono,TEKNIK ELEKTRO,36,9,5,135,24,21,5,75,210
TES-AKD-2026-00115,maryadiadr425@outlook.com,Maryadi Adriansyah,ADMINISTRASI,19,31,0,45,41,4,5,160,205
TES-AKD-2026-00116,balamantri381@yahoo.com,Balamantri Manullang,AKUNTANSI,25,22,3,78,40,7,3,153,231
TES-AKD-2026-00117,ratnayulia995@yahoo.com,Ratna Yulianti,MANAJEMEN BISNIS,28,22,0,90,34,16,0,120,210
TES-AKD-2026-00118,idaanggrai557@gmail.com,Ida Anggraini,MANAJEMEN ASET,37,10,3,138,32,14,4,114,252
TES-AKD-2026-00119,olgamahesw52@yahoo.com,Olga Maheswara,ADMINISTRASI BISNIS,37,8,5,140,21,24,5,60,200
TES-AKD-2026-00120,cawisadima653@gmail.com,Cawisadi Mandala,MANAJEMEN PEMASARAN,26,19,5,85,27,22,1,86,171
TES-AKD-2026-00121,umimulyani516@outlook.com,Umi Mulyani,KESELAMATAN DAN KESEHATAN KERJA,25,24,1,76,34,11,5,125,201
TES-AKD-2026-00122,vanesarahi324@pln.co.id,Vanesa Rahimah,TEKNIK BIOENERGI,34,14,2,122,18,30,2,42,164
TES-AKD-2026-00123,zahralaksm540@gmail.com,Zahra Laksmiwati,BIG DATA DAN BUSINESS INTELLIGENCE,27,22,1,86,37,10,3,138,224
TES-AKD-2026-00124,dalimintam438@outlook.com,Dalimin Tampubolon,TEKNIK INDUSTRI,43,4,3,168,31,16,3,108,276
TES-AKD-2026-00125,ratihusada672@outlook.com,Ratih Usada,TEKNIK MATERIAL,34,15,1,121,30,18,2,102,223
TES-AKD-2026-00126,kenziemarp365@pln.co.id,Kenzie Marpaung,SAFETY ENGINEERING,45,0,5,180,32,14,4,114,294
TES-AKD-2026-00127,zalindrana674@pln.co.id,Zalindra Nasyidah,ENERGI BARU TERBARUKAN,45,0,5,180,34,14,2,122,302
TES-AKD-2026-00128,balidinsih353@gmail.com,Balidin Sihombing,PSIKOLOGI,13,37,0,15,24,25,1,71,86
TES-AKD-2026-00129,putriyunia402@pln.co.id,Putri Yuniar,MANAJEMEN PROYEK,38,9,3,143,42,5,3,163,306
TES-AKD-2026-00130,dasanaingg596@outlook.com,Dasa Nainggolan,TEKNIK PERTAMBANGAN,37,11,2,137,37,9,4,139,276
TES-AKD-2026-00131,balamantri811@pln.co.id,Balamantri Hutapea,TEKNIK MESIN,45,2,3,178,28,21,1,91,269
TES-AKD-2026-00132,bellanurai557@outlook.com,Bella Nuraini,ADMINISTRASI BISNIS,34,11,5,125,34,13,3,123,248
TES-AKD-2026-00133,oskarprasa593@outlook.com,Oskar Prasasta,TEKNIK LINGKUNGAN,44,2,4,174,21,29,0,55,229
TES-AKD-2026-00134,rahmiyulia988@gmail.com,Rahmi Yuliarti,PROGRAM STUDI LAINNYA TEKNIK,39,6,5,150,22,25,3,63,213
TES-AKD-2026-00135,rachelmary379@pln.co.id,Rachel Maryati,MANAJEMEN KEUANGAN,33,15,2,117,27,20,3,88,205
TES-AKD-2026-00136,zulfasuart148@pln.co.id,Zulfa Suartini,AKUNTANSI,32,14,4,114,31,14,5,110,224
TES-AKD-2026-00137,hamimaprat530@outlook.com,Hamima Pratiwi,TEKNIK INDUSTRI,33,15,2,117,25,20,5,80,197
TES-AKD-2026-00138,jumadilazu450@outlook.com,Jumadi Lazuardi,KOMUNIKASI,31,19,0,105,26,19,5,85,190
TES-AKD-2026-00139,darunawahy201@gmail.com,Daruna Wahyudin,ELEKTRONIKA DAN INSTRUMENTASI,25,24,1,76,31,17,2,107,183
TES-AKD-2026-00140,martanamus433@outlook.com,Martana Mustofa,MANAJEMEN BISNIS,37,8,5,140,23,26,1,66,206
TES-AKD-2026-00141,kaniapuspi254@outlook.com,Kania Puspita,MANAJEMEN PEMASARAN,29,19,2,97,29,21,0,95,192
TES-AKD-2026-00142,vimannarpa856@outlook.com,Viman Narpati,ADMINISTRASI BISNIS,36,10,4,134,37,10,3,138,272
TES-AKD-2026-00143,vanyaaryan91@gmail.com,Vanya Aryani,TEKNIK INDUSTRI,34,14,2,122,23,27,0,65,187
TES-AKD-2026-00144,zaenabsuar593@pln.co.id,Zaenab Suartini,PROGRAM STUDI LAINNYA TEKNIK,27,22,1,86,37,12,1,136,222
TES-AKD-2026-00145,dodowasita940@yahoo.com,Dodo Wasita,TEKNIK BIOENERGI,44,5,1,171,42,4,4,164,335
TES-AKD-2026-00146,cakrabuana520@outlook.com,Cakrabuana Januar,ADMINISTRASI BISNIS,36,13,1,131,41,5,4,159,290
TES-AKD-2026-00147,vanesahasa115@yahoo.com,Vanesa Hasanah,TEKNIK MATERIAL,38,12,0,140,43,5,2,167,307
TES-AKD-2026-00148,ismailwija742@yahoo.com,Ismail Wijaya,TEKNIK MATERIAL,29,17,4,99,34,12,4,124,223
TES-AKD-2026-00149,mujurtarih64@outlook.com,Mujur Tarihoran,MANAJEMEN KEUANGAN,26,22,2,82,31,14,5,110,192
TES-AKD-2026-00150,garandabuk412@gmail.com,Garan Dabukke,AKUNTANSI,24,24,2,72,26,23,1,81,153
TES-AKD-2026-00151,zamiralaks98@gmail.com,Zamira Laksmiwati,MANAJEMEN INVESTASI BANK,24,26,0,70,38,7,5,145,215
TES-AKD-2026-00152,faizahyola389@gmail.com,Faizah Yolanda,SUPPLY CHAIN MANAGEMENT,24,22,4,74,34,14,2,122,196
TES-AKD-2026-00153,perkasakur78@gmail.com,Perkasa Kurniawan,MANAJEMEN,35,11,4,129,37,11,2,137,266
TES-AKD-2026-00154,lutfannarp70@gmail.com,Lutfan Narpati,KESELAMATAN DAN KESEHATAN KERJA,31,17,2,107,36,14,0,130,237
TES-AKD-2026-00155,ganjaranta260@pln.co.id,Ganjaran Tampubolon,SAFETY ENGINEERING,33,12,5,120,31,15,4,109,229
TES-AKD-2026-00156,cahyokuswo541@yahoo.com,Cahyo Kuswoyo,ADMINISTRASI BISNIS,37,8,5,140,41,4,5,160,300
TES-AKD-2026-00157,marwatahut683@outlook.com,Marwata Hutapea,KOMUNIKASI,22,23,5,65,29,20,1,96,161
TES-AKD-2026-00158,ifakuswand996@pln.co.id,Ifa Kuswandari,SUPPLY CHAIN MANAGEMENT,22,24,4,64,27,19,4,89,153
TES-AKD-2026-00159,vegaadrian541@yahoo.com,Vega Adriansyah,ADMINISTRASI,29,19,2,97,26,20,4,84,181
TES-AKD-2026-00160,gadangmahe920@yahoo.com,Gadang Maheswara,MANAJEMEN KEUANGAN,37,11,2,137,37,10,3,138,275
TES-AKD-2026-00161,gatotanggr857@outlook.com,Gatot Anggriawan,TEKNIK INDUSTRI,31,19,0,105,39,6,5,150,255
TES-AKD-2026-00162,belindasud166@outlook.com,Belinda Sudiati,BIG DATA DAN BUSINESS INTELLIGENCE,29,20,1,96,39,8,3,148,244
TES-AKD-2026-00163,uchitautam709@gmail.com,Uchita Utami,MANAJEMEN KEUANGAN,33,14,3,118,30,17,3,103,221
TES-AKD-2026-00164,ridwanwahy967@yahoo.com,Ridwan Wahyudin,ENERGI BARU TERBARUKAN,36,12,2,132,39,11,0,145,277
TES-AKD-2026-00165,samsultamp583@gmail.com,Samsul Tampubolon,DATA SCIENCE,38,7,5,145,30,17,3,103,248
TES-AKD-2026-00166,prabawamar405@outlook.com,Prabawa Marpaung,BIG DATA DAN BUSINESS INTELLIGENCE,31,14,5,110,40,5,5,155,265
TES-AKD-2026-00167,rahmirahma100@yahoo.com,Rahmi Rahmawati,SUPPLY CHAIN MANAGEMENT,26,21,3,83,28,19,3,93,176
TES-AKD-2026-00168,putriyunia913@yahoo.com,Putri Yuniar,PROGRAM STUDI LAINNYA NON TEKNIK,42,6,2,162,28,17,5,95,257
TES-AKD-2026-00169,amaliaarya969@pln.co.id,Amalia Aryani,ELEKTRONIKA DAN INSTRUMENTASI,35,11,4,129,38,8,4,144,273
TES-AKD-2026-00170,nadiamayas580@outlook.com,Nadia Mayasari,ADMINISTRASI,23,27,0,65,27,21,2,87,152
TES-AKD-2026-00171,prayogopra878@yahoo.com,Prayogo Prayoga,MANAJEMEN ASET,38,12,0,140,37,8,5,140,280
TES-AKD-2026-00172,sabrinapra749@gmail.com,Sabrina Prastuti,TEKNIK INFORMATIKA,34,14,2,122,42,7,1,161,283
TES-AKD-2026-00173,aswanisapt877@gmail.com,Aswani Saptono,TEKNIK BIOENERGI,32,18,0,110,40,7,3,153,263
TES-AKD-2026-00174,veroprabow954@yahoo.com,Vero Prabowo,TEKNIK KIMIA,24,25,1,71,26,23,1,81,152
TES-AKD-2026-00175,ichaharyan633@gmail.com,Icha Haryanti,DATA SCIENCE,18,32,0,40,40,5,5,155,195
TES-AKD-2026-00176,bellapudji504@gmail.com,Bella Pudjiastuti,KOMUNIKASI,23,26,1,66,23,22,5,70,136
TES-AKD-2026-00177,daryanidon782@outlook.com,Daryani Dongoran,TEKNIK MATERIAL,30,17,3,103,29,17,4,99,202
TES-AKD-2026-00178,wasissapto815@outlook.com,Wasis Saptono,HUKUM,25,24,1,76,25,21,4,79,155
TES-AKD-2026-00179,emplukiswa26@pln.co.id,Empluk Iswahyudi,DATA SCIENCE,28,21,1,91,17,32,1,36,127
TES-AKD-2026-00180,hestiusama629@pln.co.id,Hesti Usamah,ADMINISTRASI BISNIS,26,22,2,82,25,24,1,76,158
TES-AKD-2026-00181,faizahmand407@yahoo.com,Faizah Mandasari,TEKNIK INDUSTRI,25,25,0,75,35,13,2,127,202
TES-AKD-2026-00182,teguhprata857@pln.co.id,Teguh Pratama,DATA SCIENCE,31,17,2,107,46,0,4,184,291
TES-AKD-2026-00183,titiyoland191@gmail.com,Titi Yolanda,MANAJEMEN PROYEK,38,10,2,142,30,19,1,101,243
TES-AKD-2026-00184,kaniyulian862@yahoo.com,Kani Yulianti,ENERGI BARU TERBARUKAN,35,13,2,127,31,15,4,109,236
TES-AKD-2026-00185,unjaninasy32@pln.co.id,Unjani Nasyidah,MANAJEMEN PROYEK,34,11,5,125,47,0,3,188,313
TES-AKD-2026-00186,gentapuspi384@yahoo.com,Genta Puspita,MANAJEMEN RISIKO,28,18,4,94,21,29,0,55,149
TES-AKD-2026-00187,windarahma727@gmail.com,Winda Rahmawati,KESELAMATAN DAN KESEHATAN KERJA,26,21,3,83,36,11,3,133,216
TES-AKD-2026-00188,dindafarid284@outlook.com,Dinda Farida,MANAJEMEN INVESTASI BANK,30,18,2,102,19,31,0,45,147
TES-AKD-2026-00189,ginapermat429@pln.co.id,Gina Permata,TEKNIK ELEKTRO,47,0,3,188,37,10,3,138,326
TES-AKD-2026-00190,dadimaulan388@gmail.com,Dadi Maulana,AKUNTANSI,32,15,3,113,20,25,5,55,168
TES-AKD-2026-00191,harjaardia939@outlook.com,Harja Ardianto,TEKNIK GEOLOGI,26,20,4,84,34,13,3,123,207
TES-AKD-2026-00192,lalapermat945@pln.co.id,Lala Permata,TEKNIK GEOLOGI,45,0,5,180,35,14,1,126,306
TES-AKD-2026-00193,ananovitas624@gmail.com,Ana Novitasari,TEKNIK INDUSTRI,45,0,5,180,46,0,4,184,364
TES-AKD-2026-00194,opheliahar305@pln.co.id,Ophelia Hartati,SAFETY ENGINEERING,37,12,1,136,25,20,5,80,216
TES-AKD-2026-00195,olivayulia450@yahoo.com,Oliva Yulianti,DATA SCIENCE,37,8,5,140,30,18,2,102,242
TES-AKD-2026-00196,najamardia367@outlook.com,Najam Ardianto,TEKNIK INDUSTRI,29,21,0,95,31,19,0,105,200
TES-AKD-2026-00197,kartikaary578@yahoo.com,Kartika Aryani,MANAJEMEN KEUANGAN,31,18,1,106,20,28,2,52,158
TES-AKD-2026-00198,limanuwais126@pln.co.id,Liman Uwais,MANAJEMEN PROYEK,21,28,1,56,18,30,2,42,98
TES-AKD-2026-00199,simonutama149@yahoo.com,Simon Utama,TEKNIK KIMIA,28,20,2,92,26,22,2,82,174
