NO TES,EMAIL,NAMA,PRODI,SKOR,REKOMENDASI,HASIL
TES-AKD-2026-00524,paramitaha144@pln.co.id,Paramita Hariyah,PROGRAM STUDI LAINNYA TEKNIK,10,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00531,umaysuryon482@gmail.com,Umay Suryono,KESELAMATAN DAN KESEHATAN KERJA,22,DISARANKAN,LOLOS
TES-AKD-2026-00534,alikanurai448@gmail.com,Alika Nuraini,KESELAMATAN DAN KESEHATAN KERJA,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00538,wahyujaila517@yahoo.com,Wahyu Jailani,ADMINISTRASI,23,DISARANKAN,LOLOS
TES-AKD-2026-00542,zamiramand306@pln.co.id,Zamira Mandasari,ADMINISTRASI BISNIS,21,DISARANKAN,LOLOS
TES-AKD-2026-00543,wulansuart908@outlook.com,Wulan Suartini,MANAJEMEN PEMASARAN,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00545,anastasiay421@gmail.com,Anastasia Yulianti,DATA SCIENCE,25,DISARANKAN,LOLOS
TES-AKD-2026-00547,dalimaangg332@gmail.com,Dalima Anggraini,MANAJEMEN BISNIS,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00551,hamimaraha122@yahoo.com,Hamima Rahayu,TEKNIK INDUSTRI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00555,ginafarida231@yahoo.com,Gina Farida,PUBLIC POLICY,23,DISARANKAN,LOLOS
TES-AKD-2026-00562,raisahalim896@gmail.com,Raisa Halimah,DATA SCIENCE,28,DISARANKAN,LOLOS
TES-AKD-2026-00567,ratihrahay957@outlook.com,Ratih Rahayu,TEKNIK GEOLOGI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00571,marganauta884@outlook.com,Margana Utama,TEKNIK MESIN,22,DISARANKAN,LOLOS
TES-AKD-2026-00572,evamardhiy15@gmail.com,Eva Mardhiyah,MATEMATIKA,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00586,artantosir740@gmail.com,Artanto Siregar,MANAJEMEN ASET,23,DISARANKAN,LOLOS
TES-AKD-2026-00589,inakuswand944@gmail.com,Ina Kuswandari,TEKNIK INDUSTRI,8,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00590,rezahutaga336@gmail.com,Reza Hutagalung,MANAJEMEN PROYEK,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00603,shakilalak336@outlook.com,Shakila Laksita,MANAJEMEN,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00615,kalawinarn781@gmail.com,Kala Winarno,DIGITAL MARKETING DAN ANALYTICS,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00616,agusbudima88@yahoo.com,Agus Budiman,SAFETY ENGINEERING,21,DISARANKAN,LOLOS
TES-AKD-2026-00623,fathonahsu555@outlook.com,Fathonah Suartini,BIG DATA DAN BUSINESS INTELLIGENCE,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00628,cengkalsan227@pln.co.id,Cengkal Santoso,MANAJEMEN PEMASARAN,28,DISARANKAN,LOLOS
TES-AKD-2026-00636,hadiprayog794@gmail.com,Hadi Prayoga,MANAJEMEN PEMASARAN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00643,janenovita542@outlook.com,Jane Novitasari,TEKNIK PERTAMBANGAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00648,ikinhidaya155@yahoo.com,Ikin Hidayat,TEKNIK MATERIAL,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00656,julialaksi461@outlook.com,Julia Laksita,AKUNTANSI,21,DISARANKAN,LOLOS
TES-AKD-2026-00659,labuhsapto20@pln.co.id,Labuh Saptono,SUPPLY CHAIN MANAGEMENT,9,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00660,taliazulai533@yahoo.com,Talia Zulaika,TEKNIK ELEKTRO,21,DISARANKAN,LOLOS
TES-AKD-2026-00662,dewinasyia452@outlook.com,Dewi Nasyiah,MANAJEMEN KEUANGAN,23,DISARANKAN,LOLOS
TES-AKD-2026-00663,pariszulai351@gmail.com,Paris Zulaika,PUBLIC POLICY,26,DISARANKAN,LOLOS
TES-AKD-2026-00667,cakrawalah875@pln.co.id,Cakrawala Halim,MANAJEMEN PROYEK,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00674,johanmanul892@yahoo.com,Johan Manullang,MANAJEMEN PEMASARAN,24,DISARANKAN,LOLOS
TES-AKD-2026-00675,janehariya109@gmail.com,Jane Hariyah,TEKNIK ELEKTRO,21,DISARANKAN,LOLOS
TES-AKD-2026-00678,samiahuyai395@pln.co.id,Samiah Uyainah,DATA SCIENCE,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00686,sakapradan305@outlook.com,Saka Pradana,MANAJEMEN KEUANGAN,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00687,dinasuarti364@outlook.com,Dina Suartini,KONVERSI ENERGI,21,DISARANKAN,LOLOS
TES-AKD-2026-00692,jasmaniman458@yahoo.com,Jasmani Mansur,ENERGI BARU TERBARUKAN,23,DISARANKAN,LOLOS
TES-AKD-2026-00702,ziziyuliar552@pln.co.id,Zizi Yuliarti,ELEKTRONIKA DAN INSTRUMENTASI,22,DISARANKAN,LOLOS
TES-AKD-2026-00704,hasnautami736@gmail.com,Hasna Utami,MANAJEMEN PEMASARAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00707,saadatmanu344@yahoo.com,Saadat Manullang,MANAJEMEN KEUANGAN,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00713,manahanggr676@pln.co.id,Manah Anggriawan,ADMINISTRASI BISNIS,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00716,martakaram449@pln.co.id,Martaka Ramadan,TEKNIK MATERIAL,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00719,haniyuliar638@outlook.com,Hani Yuliarti,SUPPLY CHAIN MANAGEMENT,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00722,caturangga187@outlook.com,Caturangga Gunarto,TEKNIK ELEKTRO,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00730,slametmega259@yahoo.com,Slamet Megantara,MATEMATIKA,9,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00744,eliaryani271@gmail.com,Eli Aryani,TEKNIK MESIN,24,DISARANKAN,LOLOS
TES-AKD-2026-00746,mayamandas468@pln.co.id,Maya Mandasari,TEKNIK INDUSTRI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00749,oliviautam198@pln.co.id,Olivia Utami,MATEMATIKA,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00750,ranggamahe593@outlook.com,Rangga Maheswara,SAFETY ENGINEERING,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00756,vanyakuswa285@pln.co.id,Vanya Kuswandari,TEKNIK PERTAMBANGAN,8,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00758,wulanlaksi37@outlook.com,Wulan Laksita,TEKNIK MESIN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00760,halimprayo558@gmail.com,Halim Prayoga,TEKNIK MATERIAL,26,DISARANKAN,LOLOS
TES-AKD-2026-00762,gamantopra54@yahoo.com,Gamanto Pratama,TEKNIK MESIN,23,DISARANKAN,LOLOS
TES-AKD-2026-00764,sakuranovi38@pln.co.id,Sakura Novitasari,MANAJEMEN ASET,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00773,cindyhariy779@yahoo.com,Cindy Hariyah,TEKNIK SIPIL,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-00778,verohutaga398@yahoo.com,Vero Hutagalung,MANAJEMEN BISNIS,29,DISARANKAN,LOLOS
TES-AKD-2026-00780,rahmantham794@yahoo.com,Rahman Thamrin,TEKNIK MESIN,21,DISARANKAN,LOLOS
TES-AKD-2026-00781,haninasyid619@pln.co.id,Hani Nasyidah,MANAJEMEN BISNIS,27,DISARANKAN,LOLOS
TES-AKD-2026-00786,lalitafari981@yahoo.com,Lalita Farida,SAFETY ENGINEERING,25,DISARANKAN,LOLOS
TES-AKD-2026-00788,veropraset541@gmail.com,Vero Prasetya,KESELAMATAN DAN KESEHATAN KERJA,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-00789,balidinmar400@gmail.com,Balidin Maryadi,MANAJEMEN INVESTASI BANK,26,DISARANKAN,LOLOS
TES-AKD-2026-00790,kamilalaks827@gmail.com,Kamila Laksmiwati,MANAJEMEN ASET,15,TIDAK DISARANKAN,TIDAK LOLOS
