kandidat_id,hubungan_keluarga,alamat,no_telp,pekerjaan
51,Istri,Jl. Gatot Subroto No. 140,088421329947,Guru
52,Adik,Jl. Sudirman No. 147,088926732326,Petani
53,Kakak,Jl. Anggrek No. 117,080914823803,Ibu Rumah Tangga
54,Adik,Jl. Ahmad Yani No. 192,089952404252,Wiraswasta
56,Ayah,Jl. Melati No. 7,086348086581,Buruh
56,Suami,Jl. Pahlawan No. 71,082915438169,Petani
58,Wali,Jl. Anggrek No. 58,081287552433,Wiraswasta
58,Istri,Jl. Pahlawan No. 177,085004395790,Petani
59,Ayah,Jl. Anggrek No. 29,083659399184,Buruh
60,Ibu,Jl. Kartini No. 122,087835765807,Ibu Rumah Tangga
64,Suami,Jl. Sudirman No. 23,085398643723,Guru
64,Kakak,Jl. Mawar No. 25,080593927040,Karyawan Swasta
66,Suami,Jl. Kenanga No. 80,082839825888,Pensiunan
67,Ayah,Jl. Merdeka No. 35,084110948530,PNS
67,Istri,Jl. Veteran No. 16,083584057988,PNS
68,Istri,Jl. Flamboyan No. 163,085282711096,Ibu Rumah Tangga
68,Kakak,Jl. Cendana No. 110,087059131149,Ibu Rumah Tangga
69,Ayah,Jl. Merdeka No. 36,085319709637,Guru
71,Ibu,Jl. Cempaka No. 63,084302908515,Petani
71,Kakak,Jl. Gatot Subroto No. 140,082718847529,Petani
75,Wali,Jl. Gatot Subroto No. 91,082949838908,PNS
75,Istri,Jl. Cendana No. 148,084858094532,Karyawan Swasta
76,Wali,Jl. Cendana No. 73,080047078035,Petani
77,Ibu,Jl. Gatot Subroto No. 55,087240684129,Guru
77,Kakak,Jl. Flamboyan No. 124,085947244510,Petani
79,Ayah,Jl. Gatot Subroto No. 26,086562263071,Pensiunan
80,Ibu,Jl. Pahlawan No. 117,080128121085,Ibu Rumah Tangga
80,Kakak,Jl. Ahmad Yani No. 122,083106034433,Pensiunan
82,Adik,Jl. Melati No. 162,085538775936,Guru
82,Suami,Jl. Gatot Subroto No. 141,086194374719,Buruh
83,Kakak,Jl. Mawar No. 149,081851246272,Pensiunan
84,Suami,Jl. Cendana No. 50,088486715096,Ibu Rumah Tangga
84,Wali,Jl. Flamboyan No. 67,084432799415,Guru
85,Ibu,Jl. Veteran No. 44,084725788937,Wiraswasta
85,Adik,Jl. Merdeka No. 27,088516093152,Guru
86,Wali,Jl. Kartini No. 165,085543090239,Wiraswasta
87,Ibu,Jl. Merdeka No. 127,080715584114,Karyawan Swasta
87,Ayah,Jl. Flamboyan No. 145,082995955434,Wiraswasta
88,Kakak,Jl. Ahmad Yani No. 185,080602504594,Buruh
88,Ibu,Jl. Sudirman No. 110,081917972123,Wiraswasta
92,Ibu,Jl. Veteran No. 147,084329180556,Guru
94,Suami,Jl. Kartini No. 112,088991253009,Guru
94,Kakak,Jl. Veteran No. 83,083769489145,Karyawan Swasta
95,Ayah,Jl. Kenanga No. 99,085832056011,PNS
96,Kakak,Jl. Anggrek No. 90,088869856512,Buruh
96,Ayah,Jl. Melati No. 11,081440943724,Karyawan Swasta
97,Ayah,Jl. Melati No. 135,081858526883,Wiraswasta
97,Adik,Jl. Veteran No. 154,083035093672,Ibu Rumah Tangga
98,Kakak,Jl. Kartini No. 5,088258579621,Buruh
98,Ayah,Jl. Cempaka No. 80,085776454976,Wiraswasta
100,Suami,Jl. Cempaka No. 4,089638321907,Karyawan Swasta
100,Adik,Jl. Flamboyan No. 116,086689681531,Wiraswasta
103,Suami,Jl. Kenanga No. 100,083357468900,PNS
104,Kakak,Jl. Cempaka No. 153,080749700665,Ibu Rumah Tangga
104,Wali,Jl. Ahmad Yani No. 6,084440429904,PNS
106,Kakak,Jl. Cempaka No. 106,087066558478,Ibu Rumah Tangga
107,Istri,Jl. Anggrek No. 114,089613501378,Buruh
107,Adik,Jl. Merdeka No. 125,088981029356,Wiraswasta
108,Kakak,Jl. Merdeka No. 119,081106566095,Ibu Rumah Tangga
108,Istri,Jl. Melati No. 182,088958691254,Wiraswasta
109,Istri,Jl. Ahmad Yani No. 103,080072830871,Karyawan Swasta
110,Istri,Jl. Kenanga No. 58,082164393096,Petani
110,Kakak,Jl. Flamboyan No. 102,081790792222,PNS
112,Ibu,Jl. Anggrek No. 107,080685130792,Buruh
112,Adik,Jl. Gatot Subroto No. 72,086737933480,Karyawan Swasta
113,Suami,Jl. Kenanga No. 35,082077049390,Wiraswasta
113,Istri,Jl. Cendana No. 173,084492367720,Pensiunan
116,Istri,Jl. Mawar No. 124,088875572855,Guru
117,Adik,Jl. Ahmad Yani No. 142,082873035976,Petani
118,Wali,Jl. Merdeka No. 56,086401220845,Buruh
120,Kakak,Jl. Kartini No. 55,089766528747,Pensiunan
120,Wali,Jl. Flamboyan No. 111,086277872047,Buruh
122,Adik,Jl. Mawar No. 184,084458904713,Pensiunan
123,Istri,Jl. Flamboyan No. 184,089711478343,Wiraswasta
123,Suami,Jl. Melati No. 120,082080678027,Ibu Rumah Tangga
124,Ayah,Jl. Diponegoro No. 34,088182175072,Petani
125,Adik,Jl. Sudirman No. 198,080094361925,PNS
126,Kakak,Jl. Sudirman No. 163,084409065509,PNS
126,Ayah,Jl. Ahmad Yani No. 115,084716077134,Pensiunan
127,Adik,Jl. Kartini No. 40,080637742810,Ibu Rumah Tangga
128,Ayah,Jl. Sudirman No. 27,082200880868,Ibu Rumah Tangga
128,Istri,Jl. Cendana No. 54,089461377738,Pensiunan
129,Kakak,Jl. Melati No. 25,086342253538,Wiraswasta
129,Suami,Jl. Pahlawan No. 40,082818186238,Petani
130,Wali,Jl. Veteran No. 11,087744389056,PNS
135,Istri,Jl. Gatot Subroto No. 143,080408359639,PNS
136,Wali,Jl. Pahlawan No. 51,087459847784,Pensiunan
136,Ayah,Jl. Cendana No. 100,080967204114,Wiraswasta
137,Adik,Jl. Kenanga No. 49,082968168147,Buruh
137,Istri,Jl. Pahlawan No. 10,089175155065,Karyawan Swasta
138,Ibu,Jl. Anggrek No. 121,088687082944,Wiraswasta
138,Suami,Jl. Kartini No. 38,087592422698,Petani
140,Wali,Jl. Pahlawan No. 108,087179614543,Karyawan Swasta
144,Adik,Jl. Veteran No. 166,088891680959,PNS
145,Wali,Jl. Kartini No. 138,085738668416,Guru
145,Suami,Jl. Ahmad Yani No. 115,085543504458,Karyawan Swasta
146,Ibu,Jl. Melati No. 188,082403743035,Ibu Rumah Tangga
146,Ayah,Jl. Cendana No. 6,089085361700,Ibu Rumah Tangga
147,Ibu,Jl. Cendana No. 94,088538333835,PNS
147,Ayah,Jl. Pahlawan No. 9,080213908157,Karyawan Swasta
149,Kakak,Jl. Veteran No. 36,086053509249,Buruh
150,Kakak,Jl. Kenanga No. 37,082608051042,Karyawan Swasta
150,Istri,Jl. Merdeka No. 144,084846613745,Karyawan Swasta
151,Istri,Jl. Mawar No. 155,082869320239,Wiraswasta
151,Suami,Jl. Ahmad Yani No. 127,087694411357,Guru
152,Istri,Jl. Melati No. 157,080528311947,Karyawan Swasta
153,Wali,Jl. Anggrek No. 56,080738902767,Petani
155,Suami,Jl. Cendana No. 170,085373853134,Ibu Rumah Tangga
155,Ayah,Jl. Sudirman No. 39,080626751084,PNS
156,Kakak,Jl. Cempaka No. 143,088374915752,Petani
157,Wali,Jl. Mawar No. 178,085175199668,PNS
157,Ibu,Jl. Sudirman No. 195,084960610471,Wiraswasta
158,Kakak,Jl. Kartini No. 84,080228304301,Wiraswasta
159,Suami,Jl. Kenanga No. 85,083461894738,Karyawan Swasta
159,Ibu,Jl. Pahlawan No. 71,081105801264,Ibu Rumah Tangga
160,Ayah,Jl. Cendana No. 121,081645511861,Guru
162,Kakak,Jl. Kenanga No. 57,083517281335,Ibu Rumah Tangga
162,Adik,Jl. Flamboyan No. 58,085446990885,Guru
164,Istri,Jl. Sudirman No. 165,083402334368,Karyawan Swasta
165,Ibu,Jl. Anggrek No. 158,084047996670,Karyawan Swasta
165,Istri,Jl. Cendana No. 5,086251481630,Wiraswasta
168,Ibu,Jl. Melati No. 43,085895640175,Buruh
168,Kakak,Jl. Cendana No. 91,085464180300,Wiraswasta
169,Adik,Jl. Cempaka No. 8,082042086885,Pensiunan
170,Istri,Jl. Gatot Subroto No. 121,086776493329,Guru
170,Ayah,Jl. Flamboyan No. 138,080263022592,Buruh
171,Kakak,Jl. Diponegoro No. 110,088086680405,Wiraswasta
171,Istri,Jl. Sudirman No. 61,085357247028,Buruh
172,Kakak,Jl. Melati No. 7,080411954448,Ibu Rumah Tangga
174,Istri,Jl. Kartini No. 183,088610098134,Karyawan Swasta
175,Adik,Jl. Anggrek No. 185,080936057959,PNS
176,Suami,Jl. Diponegoro No. 140,081993172514,Karyawan Swasta
178,Istri,Jl. Ahmad Yani No. 9,087619551515,Buruh
178,Kakak,Jl. Ahmad Yani No. 37,080038200765,Guru
180,Wali,Jl. Diponegoro No. 121,082305257670,Guru
181,Adik,Jl. Veteran No. 180,085709799291,Wiraswasta
182,Istri,Jl. Pahlawan No. 117,081982735684,Buruh
183,Suami,Jl. Cendana No. 161,082293007319,Petani
183,Wali,Jl. Mawar No. 15,088708189776,Karyawan Swasta
185,Suami,Jl. Merdeka No. 45,082655985857,PNS
185,Ayah,Jl. Anggrek No. 21,083811849275,Buruh
188,Adik,Jl. Merdeka No. 159,083563395153,Pensiunan
189,Istri,Jl. Pahlawan No. 157,085309902317,Ibu Rumah Tangga
189,Suami,Jl. Gatot Subroto No. 127,089859274767,Pensiunan
190,Ayah,Jl. Melati No. 110,084075483642,Pensiunan
190,Istri,Jl. Flamboyan No. 4,087956541825,Petani
192,Ibu,Jl. Kenanga No. 18,084773019981,Pensiunan
193,Ayah,Jl. Sudirman No. 27,085954979506,Guru
196,Suami,Jl. Flamboyan No. 60,089714950290,Petani
196,Istri,Jl. Merdeka No. 72,083322275323,Wiraswasta
197,Ibu,Jl. Sudirman No. 190,089447153122,Karyawan Swasta
197,Wali,Jl. Sudirman No. 177,082441617628,Petani
198,Adik,Jl. Veteran No. 26,080294102838,Guru
198,Istri,Jl. Merdeka No. 115,086518441864,Guru
199,Ayah,Jl. Gatot Subroto No. 195,085447403367,PNS
201,Ayah,Jl. Diponegoro No. 39,080657237885,Buruh
201,Wali,Jl. Flamboyan No. 12,084192719311,Wiraswasta
205,Istri,Jl. Pahlawan No. 36,080292613780,Buruh
205,Kakak,Jl. Mawar No. 91,089961532332,Buruh
207,Kakak,Jl. Merdeka No. 63,082264148460,Buruh
208,Kakak,Jl. Gatot Subroto No. 101,083135461045,Petani
209,Wali,Jl. Flamboyan No. 69,080448354885,Buruh
209,Ibu,Jl. Merdeka No. 12,084587518698,Wiraswasta
210,Kakak,Jl. Gatot Subroto No. 12,087988350311,Petani
210,Ayah,Jl. Veteran No. 172,081324101251,Wiraswasta
211,Kakak,Jl. Kenanga No. 97,088928751548,Buruh
212,Wali,Jl. Cempaka No. 123,085202062354,Petani
212,Ibu,Jl. Flamboyan No. 169,086560306124,Karyawan Swasta
213,Suami,Jl. Ahmad Yani No. 179,087138277511,Karyawan Swasta
213,Adik,Jl. Sudirman No. 174,088466984594,Pensiunan
216,Ibu,Jl. Ahmad Yani No. 72,084103902103,PNS
216,Istri,Jl. Veteran No. 155,083450855697,Wiraswasta
217,Adik,Jl. Kenanga No. 188,082577252528,Guru
217,Ibu,Jl. Melati No. 67,082110874748,PNS
219,Ibu,Jl. Ahmad Yani No. 6,086050072818,Petani
220,Suami,Jl. Diponegoro No. 118,080905265161,Buruh
220,Istri,Jl. Sudirman No. 2,085182975833,Guru
221,Suami,Jl. Cendana No. 81,087882337412,Guru
223,Wali,Jl. Diponegoro No. 160,086923815598,Ibu Rumah Tangga
224,Wali,Jl. Kartini No. 123,087460029011,Ibu Rumah Tangga
224,Ibu,Jl. Melati No. 138,086110044813,Petani
225,Ibu,Jl. Pahlawan No. 50,082075983424,Ibu Rumah Tangga
226,Istri,Jl. Diponegoro No. 78,083163225133,Guru
227,Ibu,Jl. Anggrek No. 96,089090476716,Wiraswasta
228,Suami,Jl. Ahmad Yani No. 127,082386193571,Karyawan Swasta
228,Wali,Jl. Kenanga No. 68,082322611513,Guru
229,Kakak,Jl. Melati No. 65,084961873869,PNS
230,Ayah,Jl. Anggrek No. 93,082609221948,Karyawan Swasta
230,Adik,Jl. Anggrek No. 138,080601935549,PNS
231,Wali,Jl. Pahlawan No. 97,084553979692,Buruh
231,Adik,Jl. Diponegoro No. 95,084650354638,Karyawan Swasta
232,Istri,Jl. Ahmad Yani No. 79,083198639353,Ibu Rumah Tangga
232,Ayah,Jl. Mawar No. 31,085920910215,Pensiunan
233,Istri,Jl. Veteran No. 51,085116746196,Guru
233,Ibu,Jl. Ahmad Yani No. 41,086926031216,Karyawan Swasta
234,Ayah,Jl. Mawar No. 139,082369938289,Pensiunan
235,Kakak,Jl. Sudirman No. 41,088299777229,Guru
238,Adik,Jl. Diponegoro No. 139,087335387269,Petani
238,Suami,Jl. Ahmad Yani No. 165,087415418092,Pensiunan
239,Suami,Jl. Kartini No. 1,085595334574,Petani
239,Ayah,Jl. Flamboyan No. 117,085265910874,Pensiunan
242,Adik,Jl. Sudirman No. 92,083326414231,Pensiunan
242,Kakak,Jl. Kenanga No. 47,082796617771,Karyawan Swasta
244,Suami,Jl. Mawar No. 54,089091463829,Karyawan Swasta
244,Kakak,Jl. Gatot Subroto No. 14,081194329133,Buruh
245,Istri,Jl. Pahlawan No. 17,082733916443,Karyawan Swasta
245,Suami,Jl. Melati No. 127,085878252860,Buruh
246,Ibu,Jl. Anggrek No. 76,088808279426,PNS
246,Wali,Jl. Melati No. 91,084479020715,PNS
247,Ibu,Jl. Cempaka No. 87,085975834725,Wiraswasta
248,Wali,Jl. Sudirman No. 10,084039038081,Pensiunan
248,Ayah,Jl. Sudirman No. 56,082991845624,Guru
249,Wali,Jl. Kartini No. 125,080209877309,Ibu Rumah Tangga
249,Kakak,Jl. Sudirman No. 135,082148297044,Petani
255,Kakak,Jl. Veteran No. 124,085751228885,Ibu Rumah Tangga
255,Istri,Jl. Flamboyan No. 197,089422465736,PNS
256,Suami,Jl. Ahmad Yani No. 42,083005517445,Buruh
256,Ayah,Jl. Sudirman No. 196,084878083676,Guru
260,Suami,Jl. Melati No. 100,082093587562,Guru
260,Adik,Jl. Gatot Subroto No. 94,080405157889,PNS
268,Suami,Jl. Kartini No. 149,082473048126,Guru
268,Ibu,Jl. Kenanga No. 139,089308773792,Buruh
269,Ayah,Jl. Diponegoro No. 135,083875459292,PNS
270,Ayah,Jl. Anggrek No. 23,089935073350,Wiraswasta
274,Wali,Jl. Flamboyan No. 39,080113267273,Karyawan Swasta
275,Ayah,Jl. Melati No. 53,089989182890,Ibu Rumah Tangga
277,Kakak,Jl. Veteran No. 104,082018006034,Buruh
278,Wali,Jl. Melati No. 53,086293313106,Petani
279,Wali,Jl. Sudirman No. 90,085795491031,Pensiunan
279,Kakak,Jl. Cendana No. 83,085730530858,Ibu Rumah Tangga
280,Ayah,Jl. Kartini No. 112,083911016603,PNS
281,Suami,Jl. Veteran No. 2,085743670113,PNS
281,Kakak,Jl. Gatot Subroto No. 126,084276069221,Pensiunan
282,Kakak,Jl. Gatot Subroto No. 32,087391768509,Buruh
282,Adik,Jl. Pahlawan No. 143,083303843524,Buruh
283,Istri,Jl. Diponegoro No. 149,080066206624,PNS
283,Wali,Jl. Veteran No. 103,081814008656,Karyawan Swasta
284,Kakak,Jl. Cempaka No. 68,082142341473,Ibu Rumah Tangga
285,Ibu,Jl. Cendana No. 25,088343676097,PNS
286,Adik,Jl. Merdeka No. 167,082121525982,Buruh
287,Ayah,Jl. Melati No. 143,087669587128,Wiraswasta
289,Kakak,Jl. Merdeka No. 46,087210959631,PNS
290,Ayah,Jl. Gatot Subroto No. 20,088307898823,Pensiunan
292,Kakak,Jl. Flamboyan No. 135,085363631447,Petani
294,Adik,Jl. Cendana No. 182,083307397870,PNS
297,Suami,Jl. Cempaka No. 161,086662058883,Guru
297,Adik,Jl. Sudirman No. 67,082097239455,Karyawan Swasta
298,Ayah,Jl. Ahmad Yani No. 94,080548918586,Petani
298,Adik,Jl. Diponegoro No. 79,086838245023,Petani
299,Istri,Jl. Cendana No. 179,085992931048,Guru
301,Ibu,Jl. Kartini No. 108,084325720696,Petani
306,Kakak,Jl. Mawar No. 128,081161724273,Petani
308,Wali,Jl. Diponegoro No. 187,086836355572,Pensiunan
309,Wali,Jl. Kenanga No. 51,088334855156,Ibu Rumah Tangga
311,Kakak,Jl. Ahmad Yani No. 14,088872002977,Pensiunan
311,Adik,Jl. Diponegoro No. 24,083326241268,Wiraswasta
312,Ibu,Jl. Diponegoro No. 96,089076399301,Petani
314,Istri,Jl. Kenanga No. 96,080304075819,Buruh
316,Ibu,Jl. Melati No. 147,088463360419,Karyawan Swasta
318,Ibu,Jl. Kenanga No. 128,081585032727,Guru
318,Suami,Jl. Veteran No. 65,082036659518,Wiraswasta
319,Wali,Jl. Sudirman No. 190,085240463596,Guru
319,Ibu,Jl. Sudirman No. 80,084065263288,Pensiunan
321,Istri,Jl. Cendana No. 76,080871733604,Pensiunan
323,Istri,Jl. Sudirman No. 82,083179772364,Wiraswasta
324,Kakak,Jl. Merdeka No. 193,085631127111,PNS
326,Istri,Jl. Merdeka No. 86,083098996067,PNS
326,Ayah,Jl. Pahlawan No. 23,085479858273,Wiraswasta
328,Kakak,Jl. Kenanga No. 170,085643317027,Pensiunan
329,Wali,Jl. Anggrek No. 42,085041219744,Pensiunan
329,Ibu,Jl. Mawar No. 67,087980934341,Guru
330,Istri,Jl. Veteran No. 148,086130681621,Petani
330,Adik,Jl. Pahlawan No. 13,082281995136,Buruh
332,Ibu,Jl. Veteran No. 149,082096700046,Wiraswasta
332,Istri,Jl. Pahlawan No. 82,085989773935,Wiraswasta
333,Wali,Jl. Veteran No. 126,088189781686,Buruh
337,Ayah,Jl. Sudirman No. 78,082496682294,PNS
341,Ibu,Jl. Pahlawan No. 69,082647769184,Pensiunan
343,Adik,Jl. Anggrek No. 117,084544343397,Wiraswasta
343,Wali,Jl. Diponegoro No. 182,084911035511,PNS
344,Kakak,Jl. Mawar No. 9,083142648503,Pensiunan
345,Istri,Jl. Mawar No. 105,083139533466,Petani
355,Adik,Jl. Ahmad Yani No. 131,086951166043,Pensiunan
356,Istri,Jl. Diponegoro No. 173,088569247486,Petani
356,Wali,Jl. Mawar No. 108,083851508155,Ibu Rumah Tangga
357,Ayah,Jl. Kartini No. 162,088842392308,Karyawan Swasta
357,Istri,Jl. Kenanga No. 122,080809538712,Pensiunan
359,Kakak,Jl. Diponegoro No. 59,080360298276,Pensiunan
359,Adik,Jl. Veteran No. 145,087280054743,PNS
362,Istri,Jl. Merdeka No. 63,084141992041,Wiraswasta
363,Kakak,Jl. Veteran No. 64,085631796241,Guru
363,Istri,Jl. Cempaka No. 91,089843945398,Karyawan Swasta
365,Adik,Jl. Anggrek No. 138,088421753333,PNS
365,Istri,Jl. Mawar No. 186,085255117933,Karyawan Swasta
366,Ibu,Jl. Anggrek No. 81,082667274428,Petani
367,Wali,Jl. Cempaka No. 29,084120386565,Buruh
367,Kakak,Jl. Veteran No. 43,085893352021,Ibu Rumah Tangga
372,Ibu,Jl. Diponegoro No. 191,088071661097,Guru
372,Adik,Jl. Merdeka No. 66,088783431410,Karyawan Swasta
373,Kakak,Jl. Merdeka No. 99,083552948767,Petani
373,Ibu,Jl. Flamboyan No. 180,086359956993,Petani
374,Ayah,Jl. Kenanga No. 187,089447983237,PNS
374,Wali,Jl. Merdeka No. 175,087633670338,Ibu Rumah Tangga
375,Kakak,Jl. Kenanga No. 137,080695539083,Buruh
375,Adik,Jl. Mawar No. 91,087464521927,Guru
376,Istri,Jl. Gatot Subroto No. 135,084645396579,Petani
376,Ayah,Jl. Kenanga No. 195,082812078698,PNS
377,Suami,Jl. Pahlawan No. 28,081785367778,Petani
377,Istri,Jl. Kenanga No. 185,088370438228,Ibu Rumah Tangga
379,Kakak,Jl. Cendana No. 82,083364232899,Wiraswasta
379,Wali,Jl. Mawar No. 77,089277667609,Wiraswasta
380,Ibu,Jl. Anggrek No. 130,089238889456,Petani
381,Adik,Jl. Sudirman No. 131,082858070075,Ibu Rumah Tangga
382,Ayah,Jl. Melati No. 175,082306976793,Karyawan Swasta
382,Ibu,Jl. Cendana No. 187,085004215402,Buruh
383,Adik,Jl. Merdeka No. 55,081588085712,Wiraswasta
385,Ibu,Jl. Anggrek No. 153,080537982202,PNS
387,Kakak,Jl. Sudirman No. 197,087372402869,Guru
387,Adik,Jl. Kenanga No. 45,088410519963,Pensiunan
388,Ibu,Jl. Sudirman No. 149,082030420848,Guru
389,Adik,Jl. Cempaka No. 8,089048445075,Ibu Rumah Tangga
393,Wali,Jl. Kartini No. 16,080821100430,Buruh
398,Istri,Jl. Diponegoro No. 44,089373066707,PNS
398,Ibu,Jl. Anggrek No. 83,084582974676,Wiraswasta
401,Ayah,Jl. Mawar No. 64,085709063818,Buruh
401,Wali,Jl. Mawar No. 168,088995683054,Guru
402,Ibu,Jl. Sudirman No. 140,080140968214,Wiraswasta
403,Istri,Jl. Merdeka No. 148,085261361815,Buruh
403,Kakak,Jl. Ahmad Yani No. 90,081626053961,Karyawan Swasta
406,Suami,Jl. Mawar No. 61,084874918145,Buruh
406,Adik,Jl. Cempaka No. 103,081860800498,Buruh
407,Wali,Jl. Anggrek No. 140,083826404148,Petani
407,Kakak,Jl. Melati No. 150,087602816977,Karyawan Swasta
410,Wali,Jl. Mawar No. 162,088110894260,Wiraswasta
410,Ayah,Jl. Diponegoro No. 67,080694079993,Petani
411,Istri,Jl. Kenanga No. 165,081855596040,Pensiunan
412,Istri,Jl. Pahlawan No. 34,085087824662,PNS
412,Wali,Jl. Melati No. 19,083652108152,Petani
413,Suami,Jl. Sudirman No. 26,087463970556,Karyawan Swasta
413,Adik,Jl. Diponegoro No. 196,084565405974,PNS
414,Ayah,Jl. Gatot Subroto No. 140,089517198549,Ibu Rumah Tangga
414,Adik,Jl. Sudirman No. 111,085645981567,Pensiunan
415,Istri,Jl. Kartini No. 56,085037910646,Wiraswasta
417,Kakak,Jl. Sudirman No. 183,081748358181,Wiraswasta
418,Ibu,Jl. Mawar No. 27,087056636407,PNS
421,Wali,Jl. Anggrek No. 182,087011225294,Pensiunan
421,Ayah,Jl. Cempaka No. 85,082177348896,Guru
422,Kakak,Jl. Diponegoro No. 49,087717255967,Ibu Rumah Tangga
424,Kakak,Jl. Ahmad Yani No. 103,089691660840,Petani
424,Ibu,Jl. Kartini No. 92,088313568574,Petani
426,Istri,Jl. Melati No. 103,085402966471,Petani
426,Wali,Jl. Kenanga No. 110,086705185810,Ibu Rumah Tangga
427,Ibu,Jl. Diponegoro No. 168,084137144845,PNS
427,Kakak,Jl. Mawar No. 165,089819207023,Petani
428,Wali,Jl. Ahmad Yani No. 140,080003537604,Karyawan Swasta
430,Ayah,Jl. Kartini No. 100,084413237927,PNS
430,Suami,Jl. Sudirman No. 77,089714048673,Ibu Rumah Tangga
432,Ibu,Jl. Ahmad Yani No. 138,086190499971,Petani
433,Ayah,Jl. Kartini No. 178,081425292060,Buruh
433,Istri,Jl. Melati No. 22,086548693620,Petani
434,Ayah,Jl. Veteran No. 142,086630863571,PNS
434,Ibu,Jl. Melati No. 18,084054563241,Wiraswasta
435,Kakak,Jl. Sudirman No. 165,087765557918,Wiraswasta
435,Wali,Jl. Flamboyan No. 9,082201414294,Buruh
436,Ibu,Jl. Anggrek No. 154,089194815151,PNS
436,Adik,Jl. Flamboyan No. 89,089883314017,PNS
439,Ibu,Jl. Cendana No. 25,080635676528,PNS
442,Ayah,Jl. Anggrek No. 1,081558366971,Karyawan Swasta
443,Suami,Jl. Sudirman No. 130,088812261306,Pensiunan
444,Wali,Jl. Gatot Subroto No. 14,081669245314,PNS
444,Ayah,Jl. Veteran No. 141,084866292125,Guru
445,Ibu,Jl. Merdeka No. 21,087607986998,Pensiunan
445,Adik,Jl. Anggrek No. 53,087775599546,Wiraswasta
447,Suami,Jl. Gatot Subroto No. 74,080945478899,PNS
447,Ayah,Jl. Pahlawan No. 86,084991986506,Ibu Rumah Tangga
449,Ibu,Jl. Cendana No. 28,088464110832,Pensiunan
